"sample_id";"record_id";"taxoncode";"number";"length";"weight"
2258;172812;"GAS.ACU.";1;5,3;1,2
2258;172768;"LEU.DEL.";1;7,3;3
2258;172773;"LEU.DEL.";1;5,8;1,4
2258;172763;"ANG.ANG.";1;54;193,9
2258;172872;"GAS.ACU.";1;4;0,9
2258;172875;"GAS.ACU.";1;4,6;1,4
2258;172880;"GAS.ACU.";1;5,2;1,5
4550;576665;"GAS.ACU.";1;5,8;2,2
4550;576666;"GAS.ACU.";1;4,8;1
4550;576667;"GAS.ACU.";1;5,2;1,9
4550;576668;"GAS.ACU.";1;4,2;0,9
4550;576669;"GAS.ACU.";1;5,5;2,3
4550;576670;"GAS.ACU.";1;4,2;0,8
4550;576671;"GAS.ACU.";1;5,2;1,6
4550;576672;"GAS.ACU.";1;4,5;1,9
4550;576673;"GAS.ACU.";1;5,6;1,8
4550;576674;"GAS.ACU.";1;5;1,6
4550;576675;"GAS.ACU.";1;3,4;0,2
4550;576676;"GAS.ACU.";1;5,5;2
4550;576677;"GAS.ACU.";1;5,6;1,8
4550;576678;"GAS.ACU.";1;5;1,6
4550;576685;"RUT.RUT.";1;9,4;8,4
4550;576686;"RUT.RUT.";1;8,2;5,3
4550;576687;"RUT.RUT.";1;9;5,6
4550;576688;"GOB.GOB.";1;11;12,7
4550;576689;"GOB.GOB.";1;9,3;8
4550;576690;"GOB.GOB.";1;8,6;5,9
4550;576679;"GAS.ACU.";1;5,3;1,9
4550;576680;"GAS.ACU.";1;5,2;1,6
4550;576681;"GAS.ACU.";1;6;2,1
4550;576682;"GAS.ACU.";1;5,6;2,3
4550;576683;"GAS.ACU.";1;5,3;1,9
4550;576684;"GAS.ACU.";82;NA;199,8
4550;576656;"GAS.ACU.";1;5,6;2,5
4550;576657;"GAS.ACU.";1;6,4;4,2
4550;576658;"GAS.ACU.";1;4,1;0,9
4550;576659;"GAS.ACU.";1;5,3;2,2
4550;576660;"GAS.ACU.";1;4,7;1,2
4550;576634;"GAS.ACU.";1;5,3;1,6
4550;576635;"GAS.ACU.";1;6;2,1
4550;576636;"GAS.ACU.";1;5,5;2,2
4550;576637;"GAS.ACU.";1;5,4;2
4550;576638;"GAS.ACU.";1;6;3,4
4550;576639;"GAS.ACU.";1;5,5;2,3
4550;576640;"GAS.ACU.";1;5,6;2,2
4550;576641;"GAS.ACU.";1;5,4;2,2
4550;576642;"GAS.ACU.";1;5,3;2,2
4550;576643;"GAS.ACU.";1;4,8;1,3
4550;576644;"GAS.ACU.";1;5;1,6
4550;576645;"GAS.ACU.";1;5;1,8
4550;576646;"GAS.ACU.";1;5,8;2,2
4550;576647;"GAS.ACU.";1;4,6;1,2
4550;576648;"GAS.ACU.";1;4,9;1,4
4550;576649;"GAS.ACU.";1;5,8;2
4550;576650;"GAS.ACU.";1;5,4;1,7
4550;576651;"GAS.ACU.";1;5,8;2,3
4550;576652;"GAS.ACU.";1;5,4;1,9
4550;576653;"GAS.ACU.";1;5,3;1,5
4550;576654;"GAS.ACU.";1;6,2;3
4550;576655;"GAS.ACU.";1;6,1;2,8
4550;576661;"GAS.ACU.";1;5,8;2,2
4550;576662;"GAS.ACU.";1;5,6;2,2
4550;576663;"GAS.ACU.";1;6;2,8
4550;576664;"GAS.ACU.";1;6,7;4,2
2258;172856;"GAS.ACU.";1;4,6;1,4
2258;172859;"GAS.ACU.";1;4,1;1,1
2258;172885;"GAS.ACU.";1;5,9;2,6
2258;172890;"GAS.ACU.";1;4,5;1,3
2258;172778;"LEU.DEL.";1;3,9;0,4
2258;172783;"RUT.RUT.";1;8,9;6,2
2258;172788;"TIN.TIN.";1;8,1;6,9
2258;172793;"TIN.TIN.";1;6,8;4,7
2258;172817;"GAS.ACU.";1;5,4;1,9
2258;172823;"GAS.ACU.";1;5,3;1,7
2258;172864;"GAS.ACU.";1;5,5;2
2258;172868;"GAS.ACU.";1;5,8;2
2258;172798;"BAR.BUS.";1;9,3;7,5
2258;172803;"BAR.BUS.";1;9,1;7,1
2258;172808;"BAR.BUS.";1;9,1;9
2258;172827;"GAS.ACU.";1;5,3;1,3
2258;172832;"GAS.ACU.";1;4,8;1,2
2258;172895;"GAS.ACU.";1;4,9;1,2
2258;172900;"GAS.ACU.";1;4,8;1,3
2258;172905;"GAS.ACU.";1;4;0,8
2258;172836;"GAS.ACU.";1;4,9;1,1
2258;172841;"GAS.ACU.";1;5,1;0,9
2258;172846;"GAS.ACU.";1;4,5;0,8
2258;172910;"PER.FLU.";1;6,3;2,3
2258;172851;"GAS.ACU.";1;4,6;1
8507;668284;"PUN.PUN.";1;5,8;2
8507;668275;"GAS.ACU.";1;6,1;2,6
8507;668276;"GAS.ACU.";1;5,5;2,1
8507;668277;"GAS.ACU.";1;4,7;1,2
8507;668278;"GAS.ACU.";1;6;3,2
8507;668279;"GAS.ACU.";1;5,8;2,6
8507;668280;"GAS.ACU.";1;5,3;1,9
8507;668281;"GAS.ACU.";1;4;1
8507;668282;"GAS.ACU.";1;4,6;1
8507;668283;"GAS.ACU.";1;4,6;1,2
8507;668285;"PSE.PAR.";1;4,7;1,2
8434;675250;"GAS.ACU.";1;5,7;2,4
8434;675251;"GAS.ACU.";1;5,1;1,6
8434;675252;"GAS.ACU.";1;8,2;7,4
8434;675253;"GAS.ACU.";1;5,8;2,2
8434;675254;"GAS.ACU.";1;5,3;1,8
8434;675255;"GAS.ACU.";1;5,3;2
8434;675256;"GAS.ACU.";1;5,5;1,6
8434;675257;"GAS.ACU.";1;5,4;2
8434;675258;"GAS.ACU.";1;5,9;2,6
8434;675259;"GAS.ACU.";1;6;2,2
8434;675260;"GAS.ACU.";1;5,1;1,6
8434;675261;"GAS.ACU.";1;4,7;2
8434;675262;"GAS.ACU.";1;4,9;1,6
8434;675263;"GAS.ACU.";1;7,5;5,6
8434;675264;"GAS.ACU.";1;5,5;1,6
8434;675265;"GAS.ACU.";1;5,5;1,8
8434;675266;"GAS.ACU.";1;4,8;1,2
8434;675267;"GAS.ACU.";1;5,2;1,4
8434;675268;"GAS.ACU.";1;4,6;1,4
8434;675269;"GAS.ACU.";1;4,9;1,2
8434;675270;"GAS.ACU.";1;4,8;1,6
8434;675294;"RUT.RUT.";1;5,8;1,4
8434;675295;"RUT.RUT.";1;5,8;2,4
8434;675296;"RUT.RUT.";1;7,1;3
8434;675297;"RUT.RUT.";1;4,1;1
8434;675292;"PER.FLU.";1;14,3;34
8434;675293;"PER.FLU.";1;13,7;39,2
8434;675271;"GAS.ACU.";1;7,4;4,6
8434;675272;"GAS.ACU.";1;4,8;1,6
8434;675273;"GAS.ACU.";1;6,8;4,4
8434;675274;"GAS.ACU.";1;5,3;1,4
8434;675275;"GAS.ACU.";1;5,9;4
8434;675276;"GAS.ACU.";1;5,7;1,8
8434;675277;"GAS.ACU.";1;5,8;1,8
8434;675278;"GAS.ACU.";1;5;1,2
8434;675279;"GAS.ACU.";1;5,9;3
8434;675280;"GAS.ACU.";1;5,3;1,2
8434;675281;"GAS.ACU.";1;4,8;2,2
8434;675282;"GAS.ACU.";1;5,7;2,4
8434;675283;"GAS.ACU.";1;5,1;2,5
8434;675284;"GAS.ACU.";1;5,6;2,1
