"sample_key";"record_id";"taxoncode";"number";"length";"weight"
9903;897530;"ABR.BRA.";1;41,1;862,6
10398;898240;"POM.MIC.";1;4,1;1,3
9903;897561;"GAS.ACU.";1;4;0,6
9903;897580;"ANG.ANG.";1;37,2;79,6
10400;898616;"POM.MIC.";1;5,1;1,4
9903;897569;"ANG.ANG.";1;46,8;169,2
10400;898601;"POM.MIC.";1;5,3;1,4
9903;898776;"POM.MIC.";1;3,8;0,6
10400;898657;"POM.MIC.";1;5,2;1,4
9903;898772;"POM.MIC.";1;4,5;0,6
9903;898783;"POM.MIC.";1;3,7;0,6
9903;898787;"POM.MIC.";1;4,2;0,6
9903;897584;"ANG.ANG.";1;32,3;56,5
10398;898202;"ANG.ANG.";1;60,4;447,2
9903;897549;"POM.MIC.";1;4,3;0,8
10398;898255;"POM.MIC.";1;4,3;1,3
10398;898233;"POM.MIC.";1;5,8;1,3
10398;898222;"ANG.ANG.";1;52,7;285
10398;898214;"ANG.ANG.";1;39;93,8
9903;897543;"POM.MIC.";1;4,1;0,7
10401;899083;"POM.MIC.";1;4;1
10400;898654;"POM.MIC.";1;4,5;1,4
9903;897566;"ANG.ANG.";1;44,7;159,1
10398;898256;"POM.MIC.";1;5,1;1,3
10400;898612;"POM.MIC.";1;5,7;1,4
9903;897554;"POM.MIC.";1;4,2;0,7
10401;898941;"SOL.SOL.";1;11,6;14
10400;898745;"SOL.SOL.";1;12,1;17,4
10400;898768;"SOL.SOL.";1;9,5;9,7
10400;898737;"SOL.SOL.";1;9,2;7,1
10400;898730;"SOL.SOL.";1;12,4;19,6
10400;898756;"SOL.SOL.";1;8;6,3
10398;898173;"RUT.RUT.";1;7;3,5
10400;898761;"SOL.SOL.";1;11,1;14,5
10400;898734;"SOL.SOL.";1;10,9;10,8
10401;898992;"SOL.SOL.";1;9,5;7,5
10401;898961;"SOL.SOL.";1;9,3;6,7
10401;898942;"SOL.SOL.";1;9,8;8
10401;898908;"SOL.SOL.";1;10,6;11,1
10401;898939;"SOL.SOL.";1;12,2;17,1
10400;898752;"SOL.SOL.";1;12,6;21,4
10400;898469;"SOL.SOL.";1;8,6;5,9
10401;898924;"SOL.SOL.";1;10,6;13
10401;898955;"SOL.SOL.";1;11,2;11,9
10400;898503;"SOL.SOL.";1;9,7;8,2
10401;898966;"SOL.SOL.";1;9,5;8,7
10400;898472;"SOL.SOL.";1;8,3;5,5
10400;898727;"SOL.SOL.";1;28,6;228,9
10400;898495;"SOL.SOL.";1;10,3;10,4
10400;898487;"SOL.SOL.";1;12,2;15,1
10400;898464;"SOL.SOL.";1;9,3;8,2
10400;898468;"SOL.SOL.";1;11,1;11,6
10400;898499;"SOL.SOL.";1;10,8;11,9
10400;898461;"SOL.SOL.";1;11,3;15,7
10401;898931;"SOL.SOL.";1;13,6;21,8
10401;898984;"SOL.SOL.";1;10,5;12,6
