record_id;sample_key;taxoncode;number;length;weight
35;Kallemoeie_e;ESO.LUC.;1;31,2;178,1
36;Kallemoeie_e;ESO.LUC.;1;28,9;132,6
37;Kallemoeie_e;ESO.LUC.;1;31;155,2
38;Kallemoeie_e;ESO.LUC.;1;22,8;63,3
39;Kallemoeie_e;ESO.LUC.;1;47,3;603,7
40;Kallemoeie_e;ESO.LUC.;1;31,7;172,9
41;Kallemoeie_e;TIN.TIN.;1;9,4;15,8
42;Kallemoeie_e;TIN.TIN.;1;13,3;30,8
43;Kallemoeie_e;TIN.TIN.;1;12;27
44;Kallemoeie_e;TIN.TIN.;1;10,6;18,6
45;Kallemoeie_e;TIN.TIN.;1;16,9;85,5
46;Kallemoeie_e;TIN.TIN.;1;12,7;31,6
47;Kallemoeie_e;TIN.TIN.;1;12,8;29,9
48;Kallemoeie_e;TIN.TIN.;1;4,7;1,4
49;Kallemoeie_e;TIN.TIN.;1;4,7;1,8
50;Kallemoeie_e;TIN.TIN.;1;4,6;2,8
51;Kallemoeie_e;TIN.TIN.;1;5,6;2,4
52;Kallemoeie_e;TIN.TIN.;1;4,4;1,2
53;Kallemoeie_e;TIN.TIN.;1;12,7;29
54;Kallemoeie_e;TIN.TIN.;1;13,1;38
55;Kallemoeie_e;TIN.TIN.;1;4,8;1,9
56;Kallemoeie_e;TIN.TIN.;1;10,2;16,5
57;Kallemoeie_e;TIN.TIN.;1;10,7;18,1
58;Kallemoeie_e;TIN.TIN.;1;5,5;2,2
59;Kallemoeie_e;TIN.TIN.;1;13,2;37,5
60;Kallemoeie_e;TIN.TIN.;1;4;0,8
61;Kallemoeie_e;TIN.TIN.;1;4,5;1,4
62;Kallemoeie_e;TIN.TIN.;1;12,6;30,2
63;Kallemoeie_e;TIN.TIN.;1;4,6;1,4
64;Kallemoeie_e;TIN.TIN.;1;3,5;0,6
65;Kallemoeie_e;TIN.TIN.;1;4,5;1,6
66;Kallemoeie_e;TIN.TIN.;1;3,8;2,8
67;Kallemoeie_e;TIN.TIN.;1;12,4;27,7
68;Kallemoeie_e;TIN.TIN.;1;8,8;7,9
69;Kallemoeie_e;TIN.TIN.;1;6;3,8
70;Kallemoeie_e;TIN.TIN.;1;4,7;1,8
71;Kallemoeie_e;TIN.TIN.;1;4,8;1,8
72;Kallemoeie_e;TIN.TIN.;1;9,6;11,7
73;Kallemoeie_e;TIN.TIN.;1;9,8;14,5
74;Kallemoeie_e;TIN.TIN.;1;5,8;3
75;Kallemoeie_e;TIN.TIN.;1;14,4;51
76;Kallemoeie_e;TIN.TIN.;1;12,8;34,9
77;Kallemoeie_e;TIN.TIN.;1;15,5;64,3
78;Kallemoeie_e;TIN.TIN.;1;11;21,9
79;Kallemoeie_e;TIN.TIN.;1;10,6;16,1
80;Kallemoeie_e;TIN.TIN.;1;11,8;27,9
81;Kallemoeie_e;TIN.TIN.;1;8,4;7,9
82;Kallemoeie_e;TIN.TIN.;1;4,8;1,3
83;Kallemoeie_e;TIN.TIN.;1;10,7;16,5
84;Kallemoeie_e;TIN.TIN.;1;5,5;2,5
85;Kallemoeie_e;TIN.TIN.;1;12,5;34,9
86;Kallemoeie_e;TIN.TIN.;1;11,7;29,9
87;Kallemoeie_e;TIN.TIN.;1;12,5;30,4
88;Kallemoeie_e;TIN.TIN.;1;3,8;0,8
89;Kallemoeie_e;TIN.TIN.;1;3,1;0,3
90;Kallemoeie_e;TIN.TIN.;1;5;2
91;Kallemoeie_e;TIN.TIN.;1;11,5;24,9
92;Kallemoeie_e;TIN.TIN.;1;5,6;3,1
93;Kallemoeie_e;TIN.TIN.;1;5,1;2,1
94;Kallemoeie_e;TIN.TIN.;1;4,2;2,3
95;Kallemoeie_e;TIN.TIN.;1;4,5;2,3
96;Kallemoeie_e;TIN.TIN.;1;4,3;2,4
97;Kallemoeie_e;TIN.TIN.;1;5,1;2
98;Kallemoeie_e;TIN.TIN.;1;5,7;2,4
99;Kallemoeie_e;TIN.TIN.;1;5,3;2,2
100;Kallemoeie_e;TIN.TIN.;1;4,7;1,5
101;Kallemoeie_f;PER.FLU.;1;18;82,6
102;Kallemoeie_f;PER.FLU.;1;20,9;116,1
103;Kallemoeie_f;PER.FLU.;1;9,1;9,2
104;Kallemoeie_f;PER.FLU.;1;9,5;8,9
105;Kallemoeie_f;PER.FLU.;1;8;5,7
106;Kallemoeie_f;PER.FLU.;1;8;6,2
107;Kallemoeie_f;PER.FLU.;1;9;8,2
108;Kallemoeie_f;PER.FLU.;1;9,7;10
109;Kallemoeie_f;PER.FLU.;1;7,8;4,7
110;Kallemoeie_f;PER.FLU.;1;7;3,8
111;Kallemoeie_f;PER.FLU.;1;8,9;6,5
112;Kallemoeie_f;PER.FLU.;1;7,9;5,4
113;Kallemoeie_f;PER.FLU.;1;7,5;5,3
114;Kallemoeie_f;PER.FLU.;1;7,5;5,2
115;Kallemoeie_f;PER.FLU.;1;9;9,3
116;Kallemoeie_f;PER.FLU.;1;8;5,8
117;Kallemoeie_f;PER.FLU.;1;7,8;5
118;Kallemoeie_f;PER.FLU.;1;7,3;4,7
119;Kallemoeie_f;PER.FLU.;1;10,5;13,3
120;Kallemoeie_f;PER.FLU.;1;7,3;3,9
121;Kallemoeie_f;PER.FLU.;1;7,8;4,9
122;Kallemoeie_f;PER.FLU.;1;9;8,5
123;Kallemoeie_f;PER.FLU.;1;16,9;65,6
124;Kallemoeie_f;PER.FLU.;1;8,4;6,8
125;Kallemoeie_f;PER.FLU.;1;9,2;8,6
126;Kallemoeie_f;PER.FLU.;1;8,1;7,3
127;Kallemoeie_f;PER.FLU.;1;8,3;7,5
128;Kallemoeie_f;PER.FLU.;1;7,2;11,8
129;Kallemoeie_f;PER.FLU.;1;8;6
130;Kallemoeie_f;PER.FLU.;1;8;5,6
131;Kallemoeie_f;PER.FLU.;1;8,2;6,6
132;Kallemoeie_f;PER.FLU.;1;9;8,2
133;Kallemoeie_f;PER.FLU.;1;8,9;5,7
134;Kallemoeie_f;PER.FLU.;1;9;5,2
135;Kallemoeie_f;PER.FLU.;1;8,8;7,3
136;Kallemoeie_f;PER.FLU.;1;7,8;5,6
137;Kallemoeie_f;PER.FLU.;1;8,3;7
138;Kallemoeie_f;PER.FLU.;1;8;6,9
139;Kallemoeie_f;PER.FLU.;1;8;6
140;Kallemoeie_f;PER.FLU.;1;8,8;8,3
141;Kallemoeie_f;PER.FLU.;1;8;6,4
142;Kallemoeie_f;PER.FLU.;1;9,9;11,9
143;Kallemoeie_f;PER.FLU.;1;8;5,5
144;Kallemoeie_f;PER.FLU.;1;8,3;6,4
145;Kallemoeie_f;PER.FLU.;1;9,5;9,6
146;Kallemoeie_f;PER.FLU.;1;10;11,1
147;Kallemoeie_f;PER.FLU.;1;7,7;5,3
148;Kallemoeie_f;PER.FLU.;1;9;7,7
149;Kallemoeie_f;PER.FLU.;1;17,5;67,2
150;Kallemoeie_f;PER.FLU.;1;9,5;9,9
151;Kallemoeie_f;PER.FLU.;1;7,3;4,7
152;Kallemoeie_f;PER.FLU.;1;8,6;6,8
153;Kallemoeie_f;PER.FLU.;1;8,3;6,8
154;Kallemoeie_f;PER.FLU.;1;7,5;5,2
155;Kallemoeie_f;PER.FLU.;1;7,4;4,7
156;Kallemoeie_f;PER.FLU.;1;7,8;5,8
157;Kallemoeie_f;PER.FLU.;1;19,3;106,7
158;Kallemoeie_f;PER.FLU.;1;17;61,9
159;Kallemoeie_f;PER.FLU.;1;7,9;5,1
160;Kallemoeie_f;PER.FLU.;1;7,8;4,8
161;Kallemoeie_f;RUT.RUT.;1;15;33,9
162;Kallemoeie_f;ANG.ANG.;1;116;2486,7
163;Kallemoeie_f;ANG.ANG.;1;97,3;1967,3
164;Kallemoeie_f;ANG.ANG.;1;75;713,3
165;Kallemoeie_f;SCA.ERY.;1;9,9;9,5
166;Kallemoeie_f;TIN.TIN.;1;49,8;2305
167;Kallemoeie_f;TIN.TIN.;1;40,2;1095,4
