record_id;sample_key;taxoncode;number;length;weight
1;Kallemoeie_e;PUN.PUN.;1;4,4;0,8
2;Kallemoeie_e;PUN.PUN.;1;5,1;1,5
3;Kallemoeie_e;PUN.PUN.;1;4,7;1,3
4;Kallemoeie_e;PUN.PUN.;1;5;1,1
5;Kallemoeie_e;PER.FLU.;1;7,8;6,4
6;Kallemoeie_e;PER.FLU.;1;11,8;20,9
7;Kallemoeie_e;PER.FLU.;1;8;5,7
8;Kallemoeie_e;PER.FLU.;1;7;4
9;Kallemoeie_e;PER.FLU.;1;7;4,1
10;Kallemoeie_e;PER.FLU.;1;7,2;5
11;Kallemoeie_e;PER.FLU.;1;10,2;12,8
12;Kallemoeie_e;PER.FLU.;1;9,9;11,6
13;Kallemoeie_e;PER.FLU.;1;15;43
14;Kallemoeie_e;PER.FLU.;1;18;73,5
15;Kallemoeie_e;PER.FLU.;1;9,3;10,7
16;Kallemoeie_e;PER.FLU.;1;10;12,6
17;Kallemoeie_e;CYP.CAR.;1;48;3181,6
18;Kallemoeie_e;ANG.ANG.;1;104;2648
19;Kallemoeie_e;SCA.ERY.;1;6,2;2,2
20;Kallemoeie_e;SCA.ERY.;1;5,9;3
21;Kallemoeie_e;SCA.ERY.;1;6,4;2,7
22;Kallemoeie_e;SCA.ERY.;1;5,6;1,8
23;Kallemoeie_e;SCA.ERY.;1;6,3;2,3
24;Kallemoeie_e;SCA.ERY.;1;15,2;45,8
25;Kallemoeie_e;SCA.ERY.;1;15,3;43,2
26;Kallemoeie_e;SCA.ERY.;1;8,7;6,5
27;Kallemoeie_e;SCA.ERY.;1;6,2;2,6
28;Kallemoeie_e;SCA.ERY.;1;7,3;3,7
29;Kallemoeie_e;SCA.ERY.;1;6,9;3,5
30;Kallemoeie_e;SCA.ERY.;1;6,7;3,3
31;Kallemoeie_e;SCA.ERY.;1;7;3,6
32;Kallemoeie_e;SCA.ERY.;1;6,2;2,5
33;Kallemoeie_e;ESO.LUC.;1;33,4;241,6
34;Kallemoeie_e;ESO.LUC.;1;47,5;533,8
