"sample_key";"record_id";"taxoncode";"number";"length";"weight"
13207;1157392;"CYP.CAR.";1;72,6;7700
13207;1157395;"NEO.MEL.";1;6,4;3,3
13207;1157396;"ANG.ANG.";1;74;677,7
13207;1157397;"ANG.ANG.";1;75,8;664,1
13207;1157398;"ANG.ANG.";1;59,7;347,6
13207;1157399;"ANG.ANG.";1;42,4;109,9
13207;1157400;"ANG.ANG.";1;53,5;243,9
13207;1157401;"ANG.ANG.";1;54,7;196,4
13207;1157402;"ANG.ANG.";1;43;130,3
13207;1157403;"RUT.RUT.";1;32,5;475,4
13207;1157404;"RUT.RUT.";1;23;136,7
13207;1157405;"RUT.RUT.";1;17,5;55,9
13207;1157406;"RUT.RUT.";1;11;10,6
13207;1157407;"RUT.RUT.";1;9,7;9
13207;1157408;"RUT.RUT.";1;10,8;11,3
13207;1157409;"RUT.RUT.";1;10,7;12,3
13207;1157410;"RUT.RUT.";1;10;9,8
13207;1157411;"RUT.RUT.";1;10;10,4
13207;1157412;"RUT.RUT.";1;11,5;14,1
13207;1157413;"RUT.RUT.";1;10,2;10,6
13207;1157414;"RUT.RUT.";1;10;9,8
13207;1157415;"RUT.RUT.";1;9,5;8
13207;1157416;"RUT.RUT.";1;10,5;10,4
13207;1157417;"RUT.RUT.";1;10,5;10,8
13207;1157418;"RUT.RUT.";1;10,5;10,5
13207;1157419;"RUT.RUT.";1;10,7;12,4
13207;1157420;"RUT.RUT.";1;10;10,1
13207;1157421;"RUT.RUT.";1;24,7;230,9
13207;1157422;"RUT.RUT.";1;26,5;281,3
13207;1157393;"GYM.CER.";1;13;26,2
13207;1157394;"GYM.CER.";1;10;13,2
13207;1157423;"PER.FLU.";1;10;12,5
13207;1157424;"PER.FLU.";1;25,5;247,7
13207;1157425;"PER.FLU.";1;20,2;122,3
13207;1157426;"PER.FLU.";1;10,5;14,1
13207;1157427;"PER.FLU.";1;10,6;12,9
13207;1157428;"PER.FLU.";1;9,9;10,2
13207;1157429;"PER.FLU.";1;27,8;293
13207;1157430;"PER.FLU.";1;12,9;24
13207;1157431;"PER.FLU.";1;10;10,2
13207;1157432;"PER.FLU.";1;10;12,4
13207;1157434;"SAN.LUC.";1;15;19,7
13207;1157435;"SAN.LUC.";1;10,8;8,3
13207;1157436;"SAN.LUC.";1;9,5;6,4
13207;1157437;"SAN.LUC.";1;9,5;5,5
13207;1157438;"SAN.LUC.";1;11,7;10,9
13207;1157439;"SAN.LUC.";1;10,4;7,2
13207;1157440;"SAN.LUC.";1;10;5,7
13210;1158392;"ANG.ANG.";1;38,8;67,6
13207;1157450;"ABR.BRA.";1;53,8;1577,9
13207;1157453;"ANG.ANG.";1;65,5;531,7
13207;1157441;"SAN.LUC.";1;9,5;5,2
13207;1157442;"SAN.LUC.";1;12,5;12,8
13207;1157433;"PER.FLU.";1;9,5;9,2
13207;1157451;"LEP.GIB.";1;10,7;24,3
13207;1157443;"SAN.LUC.";1;10,8;8
13207;1157444;"SAN.LUC.";1;10,4;7,4
13207;1157445;"SAN.LUC.";1;9;5,6
13207;1157446;"SAN.LUC.";1;10;6,2
13207;1157447;"SAN.LUC.";1;9,4;5,8
13207;1157448;"SAN.LUC.";1;10,3;9,5
13207;1157449;"SAN.LUC.";1;9,4;6
13207;1157463;"SAN.LUC.";1;9,5;5,8
13207;1157464;"SAN.LUC.";1;10,7;7,5
13207;1157465;"SAN.LUC.";1;10,2;5,8
13207;1157454;"ANG.ANG.";1;70,5;625,1
13207;1157455;"ANG.ANG.";1;68;522,8
13207;1157456;"ANG.ANG.";1;42,4;110,3
13207;1157457;"ANG.ANG.";1;67,3;439
13207;1157458;"ANG.ANG.";1;67;558,3
13207;1157459;"ANG.ANG.";1;56;203
13207;1157460;"ANG.ANG.";1;54;198
13207;1157461;"ANG.ANG.";1;63,7;360
13207;1157486;"ANG.ANG.";1;79;772
13207;1157487;"ANG.ANG.";1;66,5;424,9
13207;1157488;"ANG.ANG.";1;69;557,2
13207;1157489;"ANG.ANG.";1;55,6;221,6
13207;1157490;"ANG.ANG.";1;43,8;123,6
13207;1157493;"NEO.MEL.";1;9;10,4
13207;1157494;"NEO.MEL.";1;7,7;6,7
13207;1157502;"ORC.LIM.";6;NA;130,2
13208;1157521;"NEO.MEL.";1;8,3;8,5
13208;1157522;"NEO.MEL.";1;7,4;6,3
13208;1157523;"NEO.MEL.";1;6,3;4
13207;1157452;"SCA.ERY.";1;12,5;23,7
13207;1157462;"CAR.AUG.";1;33,2;713,6
13207;1157472;"RUT.RUT.";1;35;538,6
13207;1157473;"RUT.RUT.";1;10,7;12
13207;1157474;"RUT.RUT.";1;10,7;12,1
13207;1157475;"RUT.RUT.";1;10,6;11,7
13207;1157476;"RUT.RUT.";1;11;13,1
13207;1157477;"RUT.RUT.";1;10,2;9,3
13207;1157478;"RUT.RUT.";1;10;9,7
13207;1157479;"RUT.RUT.";1;10;9,2
13207;1157480;"RUT.RUT.";1;10,7;10,8
13207;1157481;"RUT.RUT.";1;10,5;9,8
13207;1157482;"RUT.RUT.";1;10,5;9,7
13207;1157483;"RUT.RUT.";1;9,7;7,9
13207;1157484;"RUT.RUT.";1;9,8;8,8
13207;1157485;"RUT.RUT.";1;9,4;8,2
13208;1157503;"RUT.RUT.";1;32,6;565,7
13208;1157504;"RUT.RUT.";1;35,8;479
13207;1157491;"GYM.CER.";1;9,3;10,2
13207;1157492;"GYM.CER.";1;8,8;8,9
13207;1157495;"PER.FLU.";1;9,7;8,8
13207;1157496;"PER.FLU.";1;24,9;214,5
13207;1157497;"PER.FLU.";1;25;197,5
13207;1157498;"PER.FLU.";1;10,4;11,6
13207;1157499;"PER.FLU.";1;8,9;7,2
13207;1157500;"PER.FLU.";1;11;13,2
13207;1157501;"PER.FLU.";1;9,8;9,2
13208;1157543;"PSE.PAR.";1;8,3;4,7
13208;1157544;"PSE.PAR.";1;6,5;2,8
13208;1157545;"PSE.PAR.";1;5,8;1,9
13208;1157546;"PSE.PAR.";1;7,1;3,8
13208;1157547;"PSE.PAR.";1;5,8;1,4
13208;1157548;"PSE.PAR.";1;5;2,3
13208;1157549;"BLI.BJO.";1;5,2;1,3
13208;1157550;"PER.FLU.";1;20,9;132,8
13208;1157551;"PER.FLU.";1;19,3;99,7
13208;1157552;"PER.FLU.";1;17,3;68,4
13208;1157553;"PER.FLU.";1;10,2;11,3
13208;1157554;"PER.FLU.";1;9,2;8,7
13208;1157555;"PER.FLU.";1;9,7;10
13208;1157556;"PER.FLU.";1;10,3;11,5
13208;1157557;"PER.FLU.";1;10,4;11,8
13208;1157558;"PER.FLU.";1;10,1;10,2
13208;1157559;"PER.FLU.";1;9,7;10
13208;1157560;"PER.FLU.";1;10,1;11,1
13208;1157561;"PER.FLU.";1;9,4;8,8
13208;1157562;"PER.FLU.";1;10,6;13,3
13208;1157563;"PER.FLU.";1;10,3;12,1
13208;1157564;"PER.FLU.";1;10,4;13
13208;1157565;"PER.FLU.";1;10,3;11,3
13208;1157566;"PER.FLU.";1;10,3;11,8
13208;1157567;"PER.FLU.";1;10,4;12
13208;1157568;"PER.FLU.";1;10,7;9,5
13208;1157569;"PER.FLU.";1;8,9;7,7
13208;1157570;"PER.FLU.";1;10,8;13,7
13208;1157571;"PER.FLU.";1;11;14,7
13208;1157725;"PER.FLU.";1;10,6;12,3
13208;1157726;"PER.FLU.";1;10,3;11,5
13208;1157727;"PER.FLU.";1;8,9;7,8
13208;1157728;"PER.FLU.";1;10,6;12,5
13208;1157686;"NEO.MEL.";1;7,6;6,7
13208;1157688;"NEO.MEL.";1;7,5;6,3
13208;1157689;"NEO.MEL.";1;6,2;3,6
13208;1157691;"NEO.MEL.";1;5,9;5
13208;1157692;"NEO.MEL.";1;7,5;6,2
13208;1157693;"NEO.MEL.";1;6,9;4,3
13208;1157695;"NEO.MEL.";1;5,8;2,6
13208;1157696;"NEO.MEL.";1;3,9;0,6
13208;1157698;"NEO.MEL.";1;3,1;0,2
13208;1157699;"NEO.MEL.";1;3,7;0,5
13208;1157701;"NEO.MEL.";1;2,2;0,1
13208;1157702;"NEO.MEL.";1;6,1;2,6
13208;1157704;"NEO.MEL.";1;5,9;2,5
13208;1157705;"NEO.MEL.";1;5,3;2
13208;1157707;"NEO.MEL.";1;5,8;2,4
13208;1157524;"NEO.MEL.";1;5,6;3,2
13208;1157525;"NEO.MEL.";1;5,2;1,7
13208;1157505;"RUT.RUT.";1;28,8;342,4
13208;1157506;"RUT.RUT.";1;16,1;47,6
13208;1157507;"RUT.RUT.";1;10;9,9
13208;1157508;"RUT.RUT.";1;10,1;10,6
13208;1157509;"RUT.RUT.";1;9,9;9,6
13208;1157510;"RUT.RUT.";1;9,3;8
13208;1157511;"RUT.RUT.";1;8,5;5,9
13208;1157512;"RUT.RUT.";1;10;9,6
13208;1157513;"RUT.RUT.";1;9,7;7,4
13208;1157514;"RUT.RUT.";1;14,5;30
13208;1157515;"RUT.RUT.";1;16;48,6
13208;1157516;"RUT.RUT.";1;13,7;26,2
13208;1157517;"RUT.RUT.";1;15,1;36,1
13208;1157518;"RUT.RUT.";1;11,6;15,1
13208;1157519;"RUT.RUT.";1;15,1;37
13208;1157520;"RUT.RUT.";1;10;10,3
13208;1157682;"RUT.RUT.";1;10,3;10,5
13208;1157684;"RUT.RUT.";1;10,6;11,1
13208;1157685;"RUT.RUT.";1;15,7;42,7
13207;1157466;"SAN.LUC.";1;9,7;5,6
13207;1157467;"SAN.LUC.";1;10,4;6,8
