guild;metric_name;metric_formula_name;metric_measures_name;metric_score_name
brasem;MnsTot;;MnsTot;SMnsTot_brasem
brasem;ManTol;ManTol;;SManTol
brasem;ManTyp;ManTyp_brasem;;SManTyp_brasem
brasem;ManSoort;ManSoort_brasem;;SManSoort
brasem;ManBio;ManBio;;SManBio_brasem
brasem;MpgExo;MpgExo_river;;SMpgExo
brasem;Trofcomp;Trofcomp;;STrofcomp
brasem;MpsRekr;MpsRekr;;SMpsRekr
barbeel;MnsTot;;MnsTot;SMnsTot_barbeel
barbeel;ManTol;ManTol;;SManTol
barbeel;ManTyp;ManTyp_barbeel;;SManTyp_barbeel
barbeel;ManSoort;ManSoort_barbeel;;SManSoort
barbeel;ManBio;ManBio;;SManBio_barbeel
barbeel;MpgExo;MpgExo_river;;SMpgExo
barbeel;Trofcomp;Trofcomp;;STrofcomp
barbeel;MpsRekr;MpsRekr;;SMpsRekr
upstream;MnsBen;MnsBen;;SMnsBen
upstream;MnsTot;MnsTot;;SMnsTot_upstream
upstream;ManTyp;ManTyp_upstream;;SManTyp_upstream
upstream;ManBio;ManBio;;SManBio_upstream
upstream;MpiInvt;MpiInvt;;SMpiInvt_upstream
upstream;Manswi;Manswi;;SManswi
upstream;Mangkw;Mangkw;;SMangkw
upstream;Manmigw;Manmigw;;SManmigw
upstream;Mpigesp;Mpigesp;;SMpigesp
stilstaand;MnsTot;MnsTot;;SMnsTot_stilstaand
stilstaand;ManTol;ManTol;;SManTol
stilstaand;ManSoort;ManSoort_stilstaand;;SManSoort
stilstaand;ManBio;ManBio;;SManBio_stilstaand
stilstaand;MpgExo;MpgExo_stilstaand;;SMpgExo
stilstaand;Manpik;Manpik;;SManpik
stilstaand;Manten;Manten;;SManten
stilstaand;Pisnon;Pisnon;;SPisnon
estuarien;Mpipisc;Mpipisc;;SMpipisc
estuarien;Mpiomni;Mpiomni;;SMpiomni
estuarien;Mnsbrak;Mnsbrak;;SMnsbrak
estuarien;Mpisme;Mpisme;;SMpisme
estuarien;Mpimjm;Mpimjm;;SMpimjm
lakes_electric;OblSpe;;;SOblSpe_lakes
lakes_electric;AbrRut;;;SAbrRut_lakes
lakes_electric;BenWei;;;SBenWei_lakes_electric
lakes_fyke;BenWei;;;SBenWei_lakes_fyke
lakes_fyke;ManRec;;;SManRec
lakes_fyke;MpiOmn;;;SMpiOmn_lakes
lakes_fyke;MpiPis;;;SMpiPis_lakes
lakes_fyke;MpiInv;;;SMpiInv_lakes
canals_electric;MnsTot;;;SMnsTot_canals
canals_electric;ManBio;;;SManbio_canals
canals_electric;ManSha;;;SManSha_canals
canals_fyke;ManRec;;;SManRec
canals_fyke;BenWei;;;SBenWei_canals
estuarien_IJzer;MnsEst;MnsEst;;SMnsEst
estuarien_IJzer;MnsDia;;;SMnsDia_Ijzer
estuarien_IJzer;RmniDia;RmniDia;;SRmniDia
estuarien_IJzer;MnsMjs;MnsMjs;;SMnsMjs
estuarien_IJzer;MnsTyp;MnsTyp;;SMnsTyp
estuarien_Schelde_freshwater;MnsTot;;;SMnsTot_freshwater
estuarien_Schelde_freshwater;MnsInd;;;SMnsInd_freshwater
estuarien_Schelde_freshwater;MpiDia;;;SMpiDia_freshwater
estuarien_Schelde_freshwater;MpiSpa;;;SMpiSpa_freshwater
estuarien_Schelde_freshwater;MpiPis;;;SMpiPis_freshwater
estuarien_Schelde_freshwater;MpiBen;;;SMpiBen_freshwater
estuarien_Schelde_oligohaline;MnsPis;;;SMnsPis_oligohaline
estuarien_Schelde_oligohaline;MnsInt;;;SMnsInt_oligohaline
estuarien_Schelde_oligohaline;MnsDia;;;SMnsDia
estuarien_Schelde_oligohaline;MnsInd;;;SMnsInd_oligohaline
estuarien_Schelde_oligohaline;MnsMms;;;SMnsMms_oligohaline
estuarien_Schelde_oligohaline;MnsErs;;;SMnsErs_oligohaline
estuarien_Schelde_mesohaline;MnsTot;;;SMnsTot_mesohaline
estuarien_Schelde_mesohaline;MnsDia;;;SMnsDia
estuarien_Schelde_mesohaline;MnsSpa;;;SMnsSpa_mesohaline
estuarien_Schelde_mesohaline;MnsHab;;;SMnsHab_mesohaline
estuarien_Schelde_mesohaline;MpiInt;;;SMpiInt_mesohaline
estuarien_Schelde_mesohaline;MnsMms;;;SMnsMms_mesohaline
estuarien_Schelde_brak;MnsTot;;;SMnsTot_brak
estuarien_Schelde_brak;MpiSme;;;SMpiSme_brak
estuarien_Schelde_brak;MpiMjm;;;SMpiMjm_brak
estuarien_Schelde_brak;MpiOmn;;;SMpiOmn_brak
estuarien_Schelde_brak;MpiPis;;;SMpiPis_brak
