metric;publication;metric_in_publication;description;remark
AantalGrootteKlassenLeuCep;@belpaire_index_2000;(+recr.) (-recr.);presence or absence of natural recruitment (number of length classes from species Leuciscus cephalus_ =1 (no recruitment) or >1(recruitment));
AantalGrootteKlassenTinTin;@belpaire_index_2000;(+recr.) (-recr.);presence or absence of natural recruitment (number of length classes from species _Tinca tinca_ =1 (no recruitment) or >1(recruitment));
AantalSoortengkw;@breine_fish-based_2004;;number of species (list species upstream waters);
AantalSoortenMantyp;@breine_fish-based_2004;;number of species used to calculate the TypeWaardeUpstream submetric;
AbrBra;;;Abramis brama (% weight);
AbrRut;;;percentage weight of Abramis brama and Rutilus rutilus;
BenWei;@breine_development_2015;BenWei (%weight);relative weight percentage of benthivore species;
BenWei;;;benthivore species (% weight);
GewBarBus;@belpaire_index_2000;;total weight of _Barbatula barbatula_;
GewBen_lakes;@breine_development_2015;;total weight in g of benthivore species;
GewBen_canals;;;total weight in g of benthivore species;
GewExoten;@belpaire_index_2000;;total weight of non-native species;
GewGasAcu;@belpaire_index_2000;;total weight of _Gasterosteus aculeateus_;
GewLeuCep;@belpaire_index_2000;;total weight of _Leuciscus cephalus_;
GewRutRut;@belpaire_index_2000;;total weight of _Rutilus rutilus_;
GewScaEry;@belpaire_index_2000;;total weight of _Scardinius erythropthalmus_;
GewTinTin;@belpaire_index_2000;;total weight of _Tinca tinca_;
Gkla;@breine_fish-based_2004;;sum of scored length class (list species upstream waters);
InvertZoet;@belpaire_index_2000;;number of invertivorous individuals;
InvertZoet;@breine_fish-based_2004;;total number of invertivorous individuals with exceptions;
ManBio;@belpaire_index_2000;Total biomass (kg/ha);total biomass per effort (in kg/ha);
ManBio;@breine_fish-based_2004;MANBIOM;total biomass per effort (in kg/ha);
ManBio;;;total biomass per effort (in g/m²);
Mangkw;@breine_fish-based_2004;MANCV;length classes value;
Manmigw;@breine_fish-based_2004;MANMIGW;sum migrating species value;
ManRec;;;percentage natural recruitment;
ManSha;@breine_new_2021;ManSha;Shannon-Wiener diversity index;
ManSha;;;Shannon-Wiener index;
ManSha;@breine_visindex_2020;ManSha;Shannon-Wiener index;
ManSha;@breine_een_2018;ManSha;Shannon-Wiender index;
ManSoort_barbeel;@belpaire_index_2000;Type species;% Type species-_Gasterosteus aculeateus_, _Barbatula barbatula_, _Leuciscus cephalus_;
ManSoort_brasem;@belpaire_index_2000;Type species;% Type species-_Rutilus rutilus_, _Scardinius erythropthalmus_, _Tinca tinca_;
Manswi;@breine_fish-based_2004;MANSWI;Shannon-Wiener-index;
ManTol;@belpaire_index_2000;Mean Tolerance;mean tolerance value;
ManTol;@breine_development_2015;;sum of values species;
ManTol;@breine_een_2018;ManTol;sum of values species;
Mantolzoetsoorten;@belpaire_index_2000;;number of species used to calculate the Tolerance submetric;
ManTyp;@belpaire_index_2000;Mean typical species;mean typical species value;
ManTyp;@breine_fish-based_2004;MANTYP;mean typical species value;
Mantypzoetsoorten_barbeel;@belpaire_index_2000;;number of species used to calculate the TypeWaardeBarbeel submetric;
Mantypzoetsoorten_brasem;@belpaire_index_2000;;number of species used to calculate the TypeWaardeBrasem submetric;
MedWei;;;Median weight of _Abramis brama_, _Perca fluviatilis_ and _Rutilus rutilus_;
MmksRec;;;multiple klasse species;
MmksRec_canals;;;sum of number of species that recruit;
MniBen_freshwater;@breine_zone-specific_2010;;number of benthic individuals;
MniDia;@breine_het_2013;;number of diadromous individuals;
MniDia_freshwater;@breine_zone-specific_2010;;number of diadromous individuals;
MniInd;@breine_new_2021;;If less than 10 individuals, the number of individuals is considered too low to calculate a reliable fish-based lowland IBI. So MniInd is not used as a metric to calculate the index, it only serves to determine if the fish-based lowland IBI should be calculated;
MniInd;@breine_fish-based_2004;;If maximum 2 species are caught (MnsTot 1 or 2), the fish-based upstream IBI is scored 1 if less than 10 individuals from 1 species or less than 1 individuals from 2 species are caught. So MniInd is not used as a metric to calculate the index, it only serves to score the fish-based upstream IBI if only 1 or 2 species are caught;
MniInd;@breine_een_2018;;UNCLEAR, TO BE CHECKED!!!;
MniInd;@breine_zone-specific_2010;MnsInd;average number of individuals per fyke_day;
MniInd_brabeel;@breine_new_2021;;total number of native individuals;
MniInd_bron;@breine_een_2018;;total number of individuals;
MniInd_est_zijriv;@breine_visindex_2020;;total number of individuals;
MniInd_freshwater;@breine_zone-specific_2010;;total number of individuals;
MniInd_lakes;@breine_development_2015;;total number of individuals;
MniInd_mesohaline;@breine_zone-specific_2010;;number of individuals;
MniInd_oligohaline;@breine_zone-specific_2010;;total number of individuals;
MniInt_mesohaline;@breine_zone-specific_2010;;number of intolerant individuals;
MniInv_brabeel;@breine_new_2021;;total number of invertivorous individuals;
MniInv_est_zijriv;@breine_visindex_2020;;total number of invertivorous individuals;
MniInv_lakes;@breine_development_2015;;total number of invertivorous individuals;
MniPis_freshwater;@breine_zone-specific_2010;;number of piscivorous individuals;
MniRhe_bron;@breine_een_2018;;number of rheophillic individuals;
MniSpa_bron;@breine_een_2018;;total number of individual special spawners;
MniSpa_est_zijriv;@breine_visindex_2020;;total number of individual special spawners;
MniSpa_lakes;@breine_development_2015;;total number of individual special spawners;
MniSpa_freshwater;@breine_zone-specific_2010;;number of individuals special spawners;
MniTol_brabeel;@breine_new_2021;;total number of tolerant individuals;
MniYzer;@breine_het_2013;;number of individuals;
MniZoet;@belpaire_index_2000;;number of individuals of freshwater fishes;
MniZoet;@breine_fish-based_2004;;number of individuals of freshwater fishes;
MnsBen;@breine_fish-based_2004;MNSBEN;number of benthic species;
MnsDia;@breine_het_2013;MnsDia;number of diadromous species;
MnsDia;@breine_zone-specific_2010;MnsDia;total number of diadromous species;
MnsErs;@breine_zone-specific_2010;MnsErs;total number of estuarine species;
MnsEst;@breine_het_2013;MnsEst;number of estuarine resident species;
MnsGespa;@breine_fish-based_2004;;total number of individuals specialised spawners;
MnsHab;@breine_zone-specific_2010;MnsHab;total number of habitat sensitive species;
MnsInv;;;number of invertivorous species;
MnsInt;@breine_zone-specific_2010;MnsInt;total number of pollution intolerant species;
MnsLoc;;;number of local species;
MnsMjs;@breine_het_2013;MnsMjs;number of marine juvenile species;
MnsMms;@breine_zone-specific_2010;MnsMms;total number of marine migrating species;
MnsOmn;;;number of omnivorous species;
MnsPis;@breine_development_2015;MnsPis (#);number of piscivorous species;
MnsPis;@breine_zone-specific_2010;MnsPis;total number of piscivorous species;
MnsPis;@breine_visindex_2020;MnsPis;total number of piscivorous species;
MnsRec_canals;;;number of species used for recruitment;
MnsRekr;@belpaire_index_2000;;number of species used for recruitment;
MnsRekr;@breine_new_2021;;total number of species used for recruitment;
MnsSpa;@breine_zone-specific_2010;MnsSpa;total number of specialised spawners (species);
MnsTot;@belpaire_index_2000;Total number of species;total number of species;
MnsTot;@breine_new_2021;MnsTot;total number of native species;
MnsTot;@breine_fish-based_2004;MNSTOT;total number of observed species;
MnsTot;;;total number of species;
MnsTot;@breine_zone-specific_2010;MnsTot;total number of species;
MnsTot;@breine_visindex_2020;;If less than 2 species are caught, the IBI gets a specific score (see [Calculation of IBI and EQR](#calculation-of-ibi-and-eqr). So MnsTot is not used as a metric to calculate the index, it only serves to score the fish-based estuarine tribuataries river schelde index IBI if less than 2 species are caught;
MnsTot;@breine_een_2018;;If no or one species are caught, the IBI gets a specific score (see [Calculation of IBI and EQR](#calculation-of-ibi-and-eqr). So MnsTot is not used as a metric to calculate the index, it only serves to score the fish-based river source IBI if less than 2 species are caught;
MnsTyp;@breine_het_2013;MnsTyp;number of typical species for estuaries;
MpgExo;@belpaire_index_2000;Weight % of non-native species;% weight of non-native species;
MpiBen;@breine_zone-specific_2010;MpiBen;percentage of benthic individuals;
MpiDia;@breine_zone-specific_2010;MpiDia;percentage of diadromous individuals;
Mpigesp;@breine_fish-based_2004;MPSSP;percentage specialised spawners (individuals);
MpiInt;@breine_zone-specific_2010;MpiInt;percentage of pollution intolerant species;
MpiInv;@breine_new_2021;MpiInv(%);relative percentage of invertivorous individuals;
MpiInv;@breine_development_2015;MpiInv (%);percentage of invertivorous individuals;
MpiInv;@breine_visindex_2020;MpiInv;percentage of invertivorous individuals;
MpiInvt;@breine_fish-based_2004;MPIINVT;percentage of invertivorous individuals;
MpiInvt;;;;
MpiOmn;@breine_development_2015;MpiOmn (%);relative percentage of omnivorous individuals;
Mpiomni;;;percentage omnivoren;
MpiPis;@breine_zone-specific_2010;MpiPis;percentage of piscivorous individuals;
Mpipisc;;;;
MpiRhe;@breine_een_2018;MpiRhe;percentage of rheophilic individuals;
MpiSpa;@breine_development_2015;MpiSpa (%);relative percentage of specialised spawners (individuals);
MpiSpa;@breine_zone-specific_2010;MpiSpa;relative percentage of specialised spawners (individuals);
MpiSpa;@breine_visindex_2020;MpiSpa;percentage specialised spawners;
MpiSpa;@breine_een_2018;MpiSpa;percentage specialised spawners;
MpiTol;@breine_new_2021;MpiTol(%);percentage of tolerant individuals;
MpsRekr;@belpaire_index_2000;Natural recruitment;% natural recruitment (species);
MpsRekr;@breine_new_2021;MpsRec(%);percentage recruitment (species);
MpsRec;;;percentage of recruiting species (brabeel, terwijl met kr voor brasem en barbeel);
OblSpe;;;obligate species;
OmniZoet;@belpaire_index_2000;;number of omnivorous individuals;
PercBarBus;@belpaire_index_2000;% Barbatula barbatula;% weight of _Barbatula barbatula_;
PercGasAcu;@belpaire_index_2000;% Gasterosteus aculeateus;% weight of _Gasterosteus aculeateus_;
PercInvert;@belpaire_index_2000;% invertivorous individuals;% invertivorous individuals;
PercLeuCep;@belpaire_index_2000;% Leuciscus cephalus;% weight of _Leuciscus cephalus_;
PercOmni;@belpaire_index_2000;% omnivorous individuals;% omnivorous individuals;
PercPisci;@belpaire_index_2000;% piscivorous individuals;% piscivorous individuals;
PercRutRut;@belpaire_index_2000;% Rutilus rutilus;% weight of _Rutilus rutilus_;
PercScaEry;@belpaire_index_2000;% Scardinius erythropthalmus;% weight of _Scardinius erythropthalmus_;
PercTinTin;@belpaire_index_2000;% Tinca tinca;% weight of _Tinca tinca_;
PerFlu;;;_Perca fluviatilis_ (% weight);
PisciZoet;@belpaire_index_2000;;number of piscivorous individuals;
RmniDia;@breine_het_2013;RmniDia;relative number of diadromous individuals (%);
SanLuc;;;_Sander lucioperca_ (% weight);
Tolerance;@belpaire_index_2000;;sum of tolerance values of species caught;
TotaleRecrutering;@belpaire_index_2000;;sum of number of species that recruit (number length-classes > 1);
TotaleRecrutering;@breine_new_2021;;sum of number of species that recruit (number length-classes > 1);
TotGew;;;totaal gewicht gevangen vissen;
TotGewZoet;@belpaire_index_2000;;total weight of freshwater fish species;
TotWeight_canals;;;total weight in g;
TotWeight_lakes;@breine_development_2015;;total weight in g;
Trofcomp;@belpaire_index_2000;Trophic composition;trophic composition, score is obtained by taking the mean of de species scores of the omnivorous species, invertivorous species and piscivorous species;
TypeWaardeBarbeel;@belpaire_index_2000;;sum of values species typical of the barbel zone;
TypeWaardeBrasem;@belpaire_index_2000;;sum of values species typical of the bream zone;
