width;slope;guild;tidal;indextypecode;method
[20,25[;[0.33,0.45[;brasem;FALSE;ZTWA;
[20,25[;[0.45,0.50[;brasem;FALSE;ZTWA;
[20,25[;[0.50,0.60[;barbeel;FALSE;ZTWA;
[20,25[;[0.60,0.70[;barbeel;FALSE;ZTWA;
[20,25[;[0.70,1.00[;barbeel;FALSE;ZTWA;
[20,25[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[20,25[;[1.25,1.50[;barbeel;FALSE;ZTWA;
[20,25[;[1.50,1.75[;barbeel;FALSE;ZTWA;
[20,25[;[1.75,2.00[;barbeel;FALSE;ZTWA;
[20,25[;[2.00,2.30[;vlagzalm;FALSE;ZTWA;
[20,25[;[2.30,2.70[;vlagzalm;FALSE;ZTWA;
[20,25[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[20,25[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[20,25[;[4.50,5.00[;vlagzalm;FALSE;ZTWA;
[20,25[;[5.00,5.50[;vlagzalm;FALSE;ZTWA;
[20,25[;[5.50,5.70[;vlagzalm;FALSE;ZTWA;
[20,25[;[5.70,6.00[;forel;FALSE;ZTWA;
[20,25[;[6.00,6.50[;forel;FALSE;ZTWA;
[20,25[;[6.50,7.00[;forel;FALSE;ZTWA;
[20,25[;[7.00, [;forel;FALSE;ZTWA;
[25,30[;[0,0];stilstaand;FALSE;ZTWA;
[25,30[;]0.00,0.25[;brasem;FALSE;ZTWA;
[25,30[;[0.25,0.33[;brasem;FALSE;ZTWA;
[25,30[;[0.33,0.45[;brasem;FALSE;ZTWA;
[25,30[;[0.45,0.50[;brasem;FALSE;ZTWA;
[25,30[;[0.50,0.60[;barbeel;FALSE;ZTWA;
[25,30[;[0.60,0.70[;barbeel;FALSE;ZTWA;
[25,30[;[0.70,1.00[;barbeel;FALSE;ZTWA;
[25,30[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[25,30[;[1.25,1.50[;barbeel;FALSE;ZTWA;
[25,30[;[1.50,1.75[;barbeel;FALSE;ZTWA;
[25,30[;[1.75,2.00[;vlagzalm;FALSE;ZTWA;
[25,30[;[2.00,2.30[;vlagzalm;FALSE;ZTWA;
[25,30[;[2.30,2.70[;vlagzalm;FALSE;ZTWA;
[25,30[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[25,30[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[25,30[;[4.50,5.00[;vlagzalm;FALSE;ZTWA;
[25,30[;[5.00,5.50[;vlagzalm;FALSE;ZTWA;
[25,30[;[5.50,5.70[;forel;FALSE;ZTWA;
[25,30[;[5.70,6.00[;forel;FALSE;ZTWA;
[25,30[;[6.00,6.50[;forel;FALSE;ZTWA;
[25,30[;[6.50,7.00[;forel;FALSE;ZTWA;
[25,30[;[7.00, [;forel;FALSE;ZTWA;
[30,60[;[0,0];stilstaand;FALSE;ZTWA;
[30,60[;]0.00,0.25[;brasem;FALSE;ZTWA;
[30,60[;[0.25,0.33[;brasem;FALSE;ZTWA;
[30,60[;[0.33,0.45[;brasem;FALSE;ZTWA;
[30,60[;[0.45,0.50[;barbeel;FALSE;ZTWA;
[30,60[;[0.50,0.60[;barbeel;FALSE;ZTWA;
[30,60[;[0.60,0.70[;barbeel;FALSE;ZTWA;
[30,60[;[0.70,1.00[;barbeel;FALSE;ZTWA;
[30,60[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[30,60[;[1.25,1.50[;barbeel;FALSE;ZTWA;
[30,60[;[1.50,1.75[;vlagzalm;FALSE;ZTWA;
[30,60[;[1.75,2.00[;vlagzalm;FALSE;ZTWA;
[30,60[;[2.00,2.30[;vlagzalm;FALSE;ZTWA;
[30,60[;[2.30,2.70[;vlagzalm;FALSE;ZTWA;
[30,60[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[30,60[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[30,60[;[4.50,5.00[;vlagzalm;FALSE;ZTWA;
[30,60[;[5.00,5.50[;forel;FALSE;ZTWA;
[30,60[;[5.50,5.70[;forel;FALSE;ZTWA;
[30,60[;[5.70,6.00[;forel;FALSE;ZTWA;
[30,60[;[6.00,6.50[;forel;FALSE;ZTWA;
[30,60[;[6.50,7.00[;forel;FALSE;ZTWA;
[30,60[;[7.00, [;forel;FALSE;ZTWA;
[60,100[;[0,0];stilstaand;FALSE;ZTWA;
[60,100[;]0.00,0.25[;brasem;FALSE;ZTWA;
[60,100[;[0.25,0.33[;brasem;FALSE;ZTWA;
[60,100[;[0.33,0.45[;barbeel;FALSE;ZTWA;
[60,100[;[0.45,0.50[;barbeel;FALSE;ZTWA;
[60,100[;[0.50,0.60[;barbeel;FALSE;ZTWA;
[60,100[;[0.60,0.70[;barbeel;FALSE;ZTWA;
[60,100[;[0.70,1.00[;barbeel;FALSE;ZTWA;
[60,100[;[1.00,1.25[;barbeel;FALSE;ZTWA;
[60,100[;[1.25,1.50[;vlagzalm;FALSE;ZTWA;
[60,100[;[1.50,1.75[;vlagzalm;FALSE;ZTWA;
[60,100[;[1.75,2.00[;vlagzalm;FALSE;ZTWA;
[60,100[;[2.00,2.30[;vlagzalm;FALSE;ZTWA;
[60,100[;[2.30,2.70[;vlagzalm;FALSE;ZTWA;
[60,100[;[2.70,3.00[;vlagzalm;FALSE;ZTWA;
[60,100[;[3.00,4.50[;vlagzalm;FALSE;ZTWA;
[60,100[;[4.50,5.00[;forel;FALSE;ZTWA;
[60,100[;[5.00,5.50[;forel;FALSE;ZTWA;
[60,100[;[5.50,5.70[;forel;FALSE;ZTWA;
[60,100[;[5.70,6.00[;forel;FALSE;ZTWA;
[60,100[;[6.00,6.50[;forel;FALSE;ZTWA;
[60,100[;[6.50,7.00[;forel;FALSE;ZTWA;
[60,100[;[7.00, [;forel;FALSE;ZTWA;
[100, [;[0,0];stilstaand;FALSE;ZTWA;
[100, [;]0.00,0.25[;brasem;FALSE;ZTWA;
[100, [;[0.25,0.33[;barbeel;FALSE;ZTWA;
[100, [;[0.33,0.45[;barbeel;FALSE;ZTWA;
[100, [;[0.45,0.50[;barbeel;FALSE;ZTWA;
[100, [;[0.50,0.60[;barbeel;FALSE;ZTWA;
[100, [;[0.60,0.70[;barbeel;FALSE;ZTWA;
[100, [;[0.70,1.00[;barbeel;FALSE;ZTWA;
[100, [;[1.00,1.25[;barbeel;FALSE;ZTWA;
[100, [;[1.25,1.50[;barbeel;FALSE;ZTWA;
[100, [;[1.50,1.75[;barbeel;FALSE;ZTWA;
[100, [;[1.75,2.00[;barbeel;FALSE;ZTWA;
[100, [;[2.00,2.30[;barbeel;FALSE;ZTWA;
[100, [;[2.30,2.70[;barbeel;FALSE;ZTWA;
[100, [;[2.70,3.00[;barbeel;FALSE;ZTWA;
[100, [;[3.00,4.50[;barbeel;FALSE;ZTWA;
[100, [;[4.50,5.00[;barbeel;FALSE;ZTWA;
[100, [;[5.00,5.50[;barbeel;FALSE;ZTWA;
[100, [;[5.50,5.70[;barbeel;FALSE;ZTWA;
[100, [;[5.70,6.00[;barbeel;FALSE;ZTWA;
[100, [;[6.00,6.50[;barbeel;FALSE;ZTWA;
[100, [;[6.50,7.00[;barbeel;FALSE;ZTWA;
[100, [;[7.00, [;barbeel;FALSE;ZTWA;
NA;NA;estuarien_Schelde_meso;TRUE;SCHM;
NA;NA;estuarien_Schelde_oligo;TRUE;SCHO;
NA;NA;estuarien_Schelde_zoet;TRUE;SCHZ;
NA;NA;estuarien_zijrivieren_zoet;TRUE;ZTWZ;
NA;NA;estuarien_IJzer;TRUE;YZRP;
NA;NA;canals_fyke;FALSE;CANA;F
NA;NA;canals_electric;FALSE;CANA;E
NA;NA;lakes_fyke;FALSE;ENCL;F
NA;NA;lakes_electric;FALSE;ENCL;E
