zonation;metric_name;method;metric_formula_name;metric_measures_name;metric_score_name
brasem;MnsTot;E|SN|SF;;MnsTot;SMnsTot_brasem
brasem;ManTol;E|SN|SF;ManTol;;SManTol
brasem;ManTyp;E|SN|SF;ManTyp_brasem;;SManTyp_brasem
brasem;ManSoort;E|SN|SF;ManSoort_brasem;;SManSoort
brasem;ManBio;E|SN|SF;ManBio;;SManBio_brasem
brasem;MpgExo;E|SN|SF;MpgExo_river;;SMpgExo
brasem;Trofcomp;E|SN|SF;Trofcomp;;STrofcomp
brasem;MpsRekr;E|SN|SF;MpsRekr;;SMpsRekr
barbeel;MnsTot;E|SN|SF;;MnsTot;SMnsTot_barbeel
barbeel;ManTol;E|SN|SF;ManTol;;SManTol
barbeel;ManTyp;E|SN|SF;ManTyp_barbeel;;SManTyp_barbeel
barbeel;ManSoort;E|SN|SF;ManSoort_barbeel;;SManSoort
barbeel;ManBio;E|SN|SF;ManBio;;SManBio_barbeel
barbeel;MpgExo;E|SN|SF;MpgExo_river;;SMpgExo
barbeel;Trofcomp;E|SN|SF;Trofcomp;;STrofcomp
barbeel;MpsRekr;E|SN|SF;MpsRekr;;SMpsRekr
brabeel;MnsTot;E;;MnsTot_brabeel;SMnsTot_brabeel
brabeel;ManSha;E;;ManSha;SManSha_brabeel
brabeel;MpiTol;E;MpiTol_brabeel;;SMpiTol_brabeel
brabeel;MpiInv;E;MpiInv_brabeel;;SMpiInv_brabeel
brabeel;MpsRec;E;MpsRec;;SMpsRec_brabeel
brabeel;MniInd;E;;MniInd_brabeel;
upstream;MnsBen;E;;MnsBen;SMnsBen
upstream;MnsTot;E;;MnsTot;SMnsTot_upstream
upstream;ManTyp;E;ManTyp_upstream;;SManTyp_upstream
upstream;ManBio;E;ManBio;;SManBio_upstream
upstream;MpiInvt;E;MpiInvt;;SMpiInvt_upstream
upstream;Manswi;E;;Manswi;SManswi
upstream;Mangkw;E;Mangkw;;SMangkw
upstream;Manmigw;E;;Manmigw;SManmigw
upstream;Mpigesp;E;Mpigesp;;SMpigesp
upstream;MniInd;E;;MniInd_upstream;
forel;MnsTot;E;;MnsTot;SMnsTot_forel
forel;MnsBen;E;;MnsBen;SMnsBen
forel;MpiInvt;E;MpiInvt;;SMpiInvt_upstream
forel;Manswi;E;;Manswi;SManswi
forel;Mangkw;E;Mangkw;;SMangkw
forel;Manmigw;E;;Manmigw;SManmigw
