zonation;metric_name;method;metric_formula_name;metric_measures_name;metric_score_name
vlagzalm;MnsTot;E;;MnsTot;SMnsTot_forel
vlagzalm;MnsBen;E;;MnsBen;SMnsBen
vlagzalm;MpiInvt;E;MpiInvt;;SMpiInvt_upstream
vlagzalm;Manswi;E;;Manswi;SManswi
vlagzalm;Mangkw;E;Mangkw;;SMangkw
vlagzalm;Manmigw;E;;Manmigw;SManmigw
lakes;BenWei;SF;BenWei_lakes;;SBenWei_lakes_fyke
lakes;MpiOmn;SF;MpiOmn_lakes;;SMpiOmn_lakes
lakes;MnsPis;SF;;MnsPis_lakes;SMnsPis_lakes
lakes;ManTol;SF;;ManTol_lakes;SManTol_lakes
lakes;MpiInv;E;MpiInvt_lakes;;SMpiInv_lakes
lakes;MpiSpa;E;MpiSpa_lakes;;SMpiSpa_lakes
canals;MnsTot;E;;MnsTot_canals;SMnsTot_canals
canals;ManBio;E;ManBio_canals;;SManBio_canals
canals;ManSha;E;;ManSha;SManSha_canals
canals;ManRec;SF;ManRec_canals;;SManRec_canals
canals;BenWei;SF;BenWei_canals;;SBenWei_canals
estuarien_IJzer;MnsEst;SF;;MnsEst;SMnsEst
estuarien_IJzer;MnsDia;SF;;MnsDia_Ijzer;SMnsDia_Ijzer
estuarien_IJzer;RmniDia;SF;RmniDia;;SRmniDia
estuarien_IJzer;MnsMjs;SF;;MnsMjs;SMnsMjs
estuarien_IJzer;MnsTyp;SF;;MnsTyp;SMnsTyp
estuarien_Schelde_freshwater;MnsTot;SF;;MnsTot_freshwater;SMnsTot_freshwater
estuarien_Schelde_freshwater;MniInd;SF;MniInd_f_freshwater;;SMniInd_freshwater
estuarien_Schelde_freshwater;MpiDia;SF;MpiDia_freshwater;;SMpiDia_freshwater
estuarien_Schelde_freshwater;MpiSpa;SF;MpiSpa_freshwater;;SMpiSpa_freshwater
estuarien_Schelde_freshwater;MpiPis;SF;MpiPis_freshwater;;SMpiPis_freshwater
estuarien_Schelde_freshwater;MpiBen;SF;MpiBen_freshwater;;SMpiBen_freshwater
estuarien_Schelde_oligohaline;MnsPis;SF;;MnsPis_oligohaline;SMnsPis_oligohaline
estuarien_Schelde_oligohaline;MnsInt;SF;;MnsInt_oligohaline;SMnsInt_oligohaline
estuarien_Schelde_oligohaline;MnsDia;SF;;MnsDia_oligohaline;SMnsDia_oligohaline
estuarien_Schelde_oligohaline;MniInd;SF;MniInd_f_oligohaline;;SMniInd_oligohaline
estuarien_Schelde_oligohaline;MnsMms;SF;;MnsMms_oligohaline;SMnsMms_oligohaline
estuarien_Schelde_oligohaline;MnsErs;SF;;MnsErs_oligohaline;SMnsErs_oligohaline
estuarien_Schelde_mesohaline;MnsTot;SF;;MnsTot_mesohaline;SMnsTot_mesohaline
estuarien_Schelde_mesohaline;MnsDia;SF;;MnsDia_mesohaline;SMnsDia_mesohaline
estuarien_Schelde_mesohaline;MnsSpa;SF;;MnsSpa_mesohaline;SMnsSpa_mesohaline
estuarien_Schelde_mesohaline;MnsHab;SF;;MnsHab_mesohaline;SMnsHab_mesohaline
estuarien_Schelde_mesohaline;MpiInt;SF;MpiInt_mesohaline;;SMpiInt_mesohaline
estuarien_Schelde_mesohaline;MnsMms;SF;;MnsMms_mesohaline;SMnsMms_mesohaline
estuarien_Schelde_brak;MnsTot;SF;;MnsTot_brak;SMnsTot_brak
estuarien_Schelde_brak;MpiSme;SF;MpiSme_brak;;SMpiSme_brak
estuarien_Schelde_brak;MpiMjm;SF;MpiMjm_brak;;SMpiMjm_brak
estuarien_Schelde_brak;MpiOmn;SF;MpiOmn_brak;;SMpiOmn_brak
estuarien_Schelde_brak;MpiPis;SF;MpiPis_brak;;SMpiPis_brak
bron;ManTol;E;;ManTol_bron;SManTol_bron
bron;ManSha;E;;ManSha;SManSha_bron
bron;MpiSpa;E;MpiSpa_bron;;SMpiSpa_bron
bron;MpiRhe;E;MpiRhe_bron;;SMpiRhe_bron
bron;MnsInd;E;;MnsInd_bron;
bron;MnsTot;E;;MnsTot;
estuarien_zijrivieren_zoet;ManSha;SF;;ManSha;SManSha_est_zijriv
estuarien_zijrivieren_zoet;MpiInv;SF;MpiInv_est_zijriv;;SMpiInv_est_zijriv
estuarien_zijrivieren_zoet;MpiSpa;SF;MpiSpa_est_zijriv;;SMpiSpa_est_zijriv
estuarien_zijrivieren_zoet;MnsPis;SF;;MnsPis_est_zijriv;SMnsPis_est_zijriv
(undetermined);;;;no_metric;
