metric_score;metric;value_metric;add_category;value_add_category;score_id;opmerkingen
SMnsTot_brabeel;MnsTot_brabeel;] ,3[;width_river;]15,30];0;
SManSha_brabeel;ManSha;] ,0.245[;width_river;[0,5];0;
SManSha_brabeel;ManSha;] ,0.397[;width_river;]5, [;0;
SManSha_brabeel;ManSha;[0.245,0.490[;width_river;[0,5];1;
SManSha_brabeel;ManSha;[0.397,0.794[;width_river;]5, [;1;
SManSha_brabeel;ManSha;[0.490,0.736[;width_river;[0,5];2;
SManSha_brabeel;ManSha;[0.794,1.191[;width_river;]5, [;2;
SManSha_brabeel;ManSha;[0.736,0.981[;width_river;[0,5];3;
SManSha_brabeel;ManSha;[1.191,1.588[;width_river;]5, [;3;
SManSha_brabeel;ManSha;[0.981,1.226[;width_river;[0,5];4;
SManSha_brabeel;ManSha;[1.588,1.985[;width_river;]5, [;4;
SManSha_brabeel;ManSha;[1.226, [;width_river;[0,5];5;
SManSha_brabeel;ManSha;[1.985, [;width_river;]5, [;5;
SMpiTol_brabeel;MpiTol_brabeel;] ,24.4];width_river;[0,5];1;
SMpiTol_brabeel;MpiTol_brabeel;]73.1, [;width_river;[0,5];1;
SMpiTol_brabeel;MpiTol_brabeel;] ,19.3];width_river;]5, [;1;
SMpiTol_brabeel;MpiTol_brabeel;]57.8, [;width_river;]5, [;1;
SMpiTol_brabeel;MpiTol_brabeel;]60.9,73.1];width_river;[0,5];2;
SMpiTol_brabeel;MpiTol_brabeel;]48.2,57.8];width_river;]5, [;2;
SMpiTol_brabeel;MpiTol_brabeel;]48.7,60.9];width_river;[0,5];3;
SMpiTol_brabeel;MpiTol_brabeel;]38.6,48.2];width_river;]5, [;3;
SMpiTol_brabeel;MpiTol_brabeel;]36.5,48.7];width_river;[0,5];4;
SMpiTol_brabeel;MpiTol_brabeel;]28.9,38.6];width_river;]5, [;4;
SMpiTol_brabeel;MpiTol_brabeel;]24.4,36.5];width_river;[0,5];5;
SMpiTol_brabeel;MpiTol_brabeel;]19.3,28.9];width_river;]5, [;5;
SMpiInv_brabeel;MpiInv_brabeel;] ,9.7[;width_river;[0,5];0;
SMpiInv_brabeel;MpiInv_brabeel;] ,12.8[;width_river;]5, [;0;
SMpiInv_brabeel;MpiInv_brabeel;[9.7,19.3[;width_river;[0,5];1;
SMpiInv_brabeel;MpiInv_brabeel;[58, [;width_river;[0,5];1;
SMpiInv_brabeel;MpiInv_brabeel;[12.8,25.5[;width_river;]5, [;1;
SMpiInv_brabeel;MpiInv_brabeel;[76.6, [;width_river;]5, [;1;
SMpiInv_brabeel;MpiInv_brabeel;[19.3,29[;width_river;[0,5];2;
SMpiInv_brabeel;MpiInv_brabeel;[25.5,38.2[;width_river;]5, [;2;
SMpiInv_brabeel;MpiInv_brabeel;[29,38.6[;width_river;[0,5];3;
SMpiInv_brabeel;MpiInv_brabeel;[38.2,51.5[;width_river;]5, [;3;
SMpiInv_brabeel;MpiInv_brabeel;[38.6,48.3[;width_river;[0,5];4;
SMpiInv_brabeel;MpiInv_brabeel;[51.1,63.8[;width_river;]5, [;4;
SMpiInv_brabeel;MpiInv_brabeel;[48.3,58[;width_river;[0,5];5;
SMpiInv_brabeel;MpiInv_brabeel;[63.8,76.6[;width_river;]5, [;5;
SMpsRec_brabeel;MpsRec;] ,11.3[;season;spring;0;
SMpsRec_brabeel;MpsRec;] ,14.9[;season;summer;0;
SMpsRec_brabeel;MpsRec;] ,14.9[;season;autumn;0;
SMpsRec_brabeel;MpsRec;[11.3,22.5[;season;spring;1;
SMpsRec_brabeel;MpsRec;[14.9,29.8[;season;summer;1;
SMpsRec_brabeel;MpsRec;[14.9,29.8[;season;autumn;1;
SMpsRec_brabeel;MpsRec;[22.5,33.8[;season;spring;2;
SMpsRec_brabeel;MpsRec;[29.8,44.7[;season;summer;2;
SMpsRec_brabeel;MpsRec;[29.8,44.7[;season;autumn;2;
SMpsRec_brabeel;MpsRec;[33.8,45.1[;season;spring;3;
SMpsRec_brabeel;MpsRec;[44.7,59.6[;season;summer;3;
SMpsRec_brabeel;MpsRec;[44.7,59.6[;season;autumn;3;
SMpsRec_brabeel;MpsRec;[45.1,56.3[;season;spring;4;
SMpsRec_brabeel;MpsRec;[59.6,74.5[;season;summer;4;
SMpsRec_brabeel;MpsRec;[59.6,74.5[;season;autumn;4;
SMpsRec_brabeel;MpsRec;[56.3, [;season;spring;5;
SMpsRec_brabeel;MpsRec;[74.5, [;season;summer;5;
SMpsRec_brabeel;MpsRec;[74.5, [;season;autumn;5;
SMnsTot_upstream;MnsTot;] ,4[;slope;] ,4[;1;
SMnsTot_upstream;MnsTot;[4,7];slope;] ,4[;3;
SMnsTot_upstream;MnsTot;[7, [;slope;] ,4[;5;
SMnsTot_upstream;MnsTot;] ,3[;slope;[4,5];1;
SMnsTot_upstream;MnsTot;[3,5];slope;[4,5];3;
SMnsTot_upstream;MnsTot;]5, [;slope;[4,5];5;
SMnsTot_upstream;MnsTot;] ,2[;slope;]5, [;1;
SMnsTot_upstream;MnsTot;[2,4];slope;]5, [;3;
SMnsTot_upstream;MnsTot;]4, [;slope;]5, [;5;
SManTyp_upstream;ManTyp_upstream;] ,1.44[;slope;] ,4[;1;
SManTyp_upstream;ManTyp_upstream;[1.44,2.88];slope;] ,4[;3;
SManTyp_upstream;ManTyp_upstream;]2.88, [;slope;] ,4[;5;
SManTyp_upstream;ManTyp_upstream;] ,1.49[;slope;[4,5];1;
SManTyp_upstream;ManTyp_upstream;[1.49,2.97];slope;[4,5];3;
SManTyp_upstream;ManTyp_upstream;]2.97, [;slope;[4,5];5;
SManTyp_upstream;ManTyp_upstream;] ,1.57[;slope;]5,8];1;
SManTyp_upstream;ManTyp_upstream;[1.57,3.13];slope;]5,8];3;
SManTyp_upstream;ManTyp_upstream;]3.13, [;slope;]5,8];5;
SManTyp_upstream;ManTyp_upstream;] ,1.69[;slope;]8,12.5];1;
SManTyp_upstream;ManTyp_upstream;[1.69,3.37];slope;]8,12.5];3;
SManTyp_upstream;ManTyp_upstream;]3.37, [;slope;]8,12.5];5;
SManTyp_upstream;ManTyp_upstream;] ,1.85[;slope;]12.5, [;1;
SManTyp_upstream;ManTyp_upstream;[1.85,3.69];slope;]12.5, [;3;
SManTyp_upstream;ManTyp_upstream;]3.69, [;slope;]12.5, [;5;
SManswi;Manswi;] ,0.85[;;;1;
SManswi;Manswi;[0.85,2];;;3;
SManswi;Manswi;]2, [;;;5;
SManmigw;Manmigw;] ,2[;;;1;
SManmigw;Manmigw;[2,4];;;3;
SManmigw;Manmigw;]4, [;;;5;
SManBio_upstream;ManBio;] ,130];slope;] ,4[;1;
SManBio_upstream;ManBio;]130,250];slope;] ,4[;3;
SManBio_upstream;ManBio;]250, [;slope;] ,4[;5;
SManBio_upstream;ManBio;] ,80];slope;[4,5];1;
SManBio_upstream;ManBio;]80,150];slope;[4,5];3;
SManBio_upstream;ManBio;]150, [;slope;[4,5];5;
SManBio_upstream;ManBio;] ,46];slope;]5,8];1;
SManBio_upstream;ManBio;]46,100];slope;]5,8];3;
SManBio_upstream;ManBio;]100, [;slope;]5,8];5;
SManBio_upstream;ManBio;] ,30];slope;]8, [;1;
SManBio_upstream;ManBio;]30,60];slope;]8, [;3;
SManBio_upstream;ManBio;]60, [;slope;]8, [;5;
SMangkw;Mangkw;] ,2[;;;1;
SMangkw;Mangkw;[2,4[;;;3;
SMangkw;Mangkw;[4,5];;;5;
SMpiInvt_upstream;MpiInvt;[0,26[;MnsTot;[0,0];0;
SMpiInvt_upstream;MpiInvt;[0,26[;MnsTot;]0, [;1;
SMpiInvt_upstream;MpiInvt;[26,45];MnsTot;[0, [;3;
SMpiInvt_upstream;MpiInvt;]45,73[;MnsTot;[0, [;5;
SMpiInvt_upstream;MpiInvt;[73,100[;MnsTot;[0, [;3;
SMpiInvt_upstream;MpiInvt;[100,100];MnsTot;[0, [;1;
SMnsBen;MnsBen;] ,1];;;1;
SMnsBen;MnsBen;]1,3];;;3;
SMnsBen;MnsBen;]3, [;;;5;
SMpigesp;Mpigesp;] ,8[;slope;] ,4[;1;
SMpigesp;Mpigesp;[8,16[;slope;] ,4[;3;
SMpigesp;Mpigesp;[16, [;slope;] ,4[;5;
SMpigesp;Mpigesp;] ,10[;slope;[4,5];1;
SMpigesp;Mpigesp;[10,21[;slope;[4,5];3;
SMpigesp;Mpigesp;[21, [;slope;[4,5];5;
SMpigesp;Mpigesp;] ,12[;slope;]5,8];1;
SMpigesp;Mpigesp;[12,31[;slope;]5,8];3;
SMpigesp;Mpigesp;[31, [;slope;]5,8];5;
SMpigesp;Mpigesp;] ,24[;slope;]8,12.5];1;
SMpigesp;Mpigesp;[24,48[;slope;]8,12.5];3;
SMpigesp;Mpigesp;[48, [;slope;]8,12.5];5;
SMpigesp;Mpigesp;] ,35[;slope;]12.5, [;1;
SMpigesp;Mpigesp;[35,70[;slope;]12.5, [;3;
SMpigesp;Mpigesp;[70, [;slope;]12.5, [;5;
SMnsTot_forel;MnsTot;[0,0];;;0;
SMnsTot_forel;MnsTot;]0,4[;;;1;
SMnsTot_forel;MnsTot;[4,7];;;3;
SMnsTot_forel;MnsTot;[7, [;;;5;
SBenWei_lakes_fyke;BenWei_lakes;] ,7[;;;0,6;
SBenWei_lakes_fyke;BenWei_lakes;[7,14[;;;0,8;
SBenWei_lakes_fyke;BenWei_lakes;[14,28[;;;0,6;
SBenWei_lakes_fyke;BenWei_lakes;[28,42[;;;0,4;
SBenWei_lakes_fyke;BenWei_lakes;[42, [;;;0,2;
SManTol_lakes;ManTol_lakes;[50, [;;;1;
SManTol_lakes;ManTol_lakes;[40,50[;;;0,8;
SManTol_lakes;ManTol_lakes;[27,40[;;;0,6;
SManTol_lakes;ManTol_lakes;[13,27[;;;0,4;
SManTol_lakes;ManTol_lakes;] ,13[;;;0,2;
SMpiOmn_lakes;MpiOmn_lakes;] ,7.9[;;;0,6;
SMpiOmn_lakes;MpiOmn_lakes;[7.9,15.9[;;;0,8;
SMpiOmn_lakes;MpiOmn_lakes;[15.9,31.7[;;;0,6;
SMpiOmn_lakes;MpiOmn_lakes;[31.7,47.6[;;;0,4;
SMpiOmn_lakes;MpiOmn_lakes;[47.6, [;;;0,2;
SMnsPis_lakes;MnsPis_lakes;[5, [;;;1;
SMnsPis_lakes;MnsPis_lakes;[3,5[;;;0,8;
SMnsPis_lakes;MnsPis_lakes;[2,3[;;;0,6;
SMnsPis_lakes;MnsPis_lakes;[1,2[;;;0,4;
SMnsPis_lakes;MnsPis_lakes;] ,1[;;;0,2;
SMpiInv_lakes;MpiInvt_lakes;[14.2,28.9[;;;0,8;
SMpiInv_lakes;MpiInvt_lakes;[9.4,14.2[;;;0,6;
SMpiInv_lakes;MpiInvt_lakes;[4.7,9.4[;;;0,4;
SMpiInv_lakes;MpiInvt_lakes;] ,4.7[;;;0,2;
SMpiInv_lakes;MpiInvt_lakes;[28.9, [;;;0,6;
SMpiSpa_lakes;MpiSpa_lakes;[21.4,28.5[;;;0,8;
SMpiSpa_lakes;MpiSpa_lakes;[14.2,21.4[;;;0,6;
SMpiSpa_lakes;MpiSpa_lakes;[7.1,14.2[;;;0,4;
SMpiSpa_lakes;MpiSpa_lakes;] ,7.1[;;;0,2;
SMpiSpa_lakes;MpiSpa_lakes;[28.5, [;;;0,6;
SMnsTot_canals;MnsTot_canals;[18, [;;;1;
SMnsTot_canals;MnsTot_canals;[7,18[;;;0,8;
SMnsTot_canals;MnsTot_canals;[5,7[;;;0,6;
SMnsTot_canals;MnsTot_canals;[2,5[;;;0,4;
SMnsTot_canals;MnsTot_canals;] ,2[;;;0,2;
SManbio_canals;ManBio_canals;[32.6, [;;;0,8;
SManbio_canals;ManBio_canals;[24.5,32.6[;;;0,6;
SManbio_canals;ManBio_canals;[16.3,24.5[;;;0,4;
SManbio_canals;ManBio_canals;] ,16.3[;;;0,2;
SManSha_canals;ManSha;[1.64, [;;;0,8;
SManSha_canals;ManSha;[1.23,1.64[;;;0,6;
SManSha_canals;ManSha;[0.82,1.23[;;;0,4;
SManSha_canals;ManSha;] ,0.82[;;;0,2;
SManRec_canals;ManRec_canals;[100,100];;;1;
SManRec_canals;ManRec_canals;[80,100[;;;0,8;
SManRec_canals;ManRec_canals;[53.3,80[;;;0,6;
SManRec_canals;ManRec_canals;[26.7,53.3[;;;0,4;
SManRec_canals;ManRec_canals;] ,26.7[;;;0,2;
SBenWei_canals;BenWei_canals;] ,11.1[;;;0,2;
SBenWei_canals;BenWei_canals;[11.1,22.2[;;;0,8;
SBenWei_canals;BenWei_canals;[22.2,44.4[;;;0,6;
SBenWei_canals;BenWei_canals;[44.4,66.6[;;;0,4;
SBenWei_canals;BenWei_canals;[66.6, [;;;0,2;
SMnsEst;MnsEst;[12, [;;;5;
SMnsEst;MnsEst;[10,12[;;;4;
SMnsEst;MnsEst;[7,10[;;;3;
SMnsEst;MnsEst;[4,7[;;;2;
SMnsEst;MnsEst;] ,4[;;;1;
SMnsDia_Ijzer;MnsDia_Ijzer;[9, [;;;5;
SMnsDia_Ijzer;MnsDia_Ijzer;[7,9[;;;4;
SMnsDia_Ijzer;MnsDia_Ijzer;[5,7[;;;3;
SMnsDia_Ijzer;MnsDia_Ijzer;[3,5[;;;2;
SMnsDia_Ijzer;MnsDia_Ijzer;] ,3[;;;1;
SRmniDia;RmniDia;[20, [;;;5;
SRmniDia;RmniDia;[15,20[;;;4;
SRmniDia;RmniDia;[10,15[;;;3;
SRmniDia;RmniDia;[5,10[;;;2;
SRmniDia;RmniDia;] ,5[;;;1;
SMnsMjs;MnsMjs;[22, [;;;5;
SMnsMjs;MnsMjs;[16,22[;;;4;
SMnsMjs;MnsMjs;[11,16[;;;3;
SMnsMjs;MnsMjs;[6,11[;;;2;
SMnsMjs;MnsMjs;] ,6[;;;1;
SMnsTyp;MnsTyp;[9, [;;;5;
SMnsTyp;MnsTyp;[7,9[;;;4;
SMnsTyp;MnsTyp;[5,7[;;;3;
SMnsTyp;MnsTyp;[3,5[;;;2;
SMnsTyp;MnsTyp;] ,3[;;;1;
SMnsTot_freshwater;MnsTot_freshwater;[20.7, [;;;1;
SMnsTot_freshwater;MnsTot_freshwater;[15.5,20.7[;;;0,8;
SMnsTot_freshwater;MnsTot_freshwater;[10.4,15.5[;;;0,6;
SMnsTot_freshwater;MnsTot_freshwater;[5.2,10.4[;;;0,4;
SMnsTot_freshwater;MnsTot_freshwater;] ,5.2[;;;0,2;
SMniInd_freshwater;MniInd_f_freshwater;[174, [;;;1;
SMniInd_freshwater;MniInd_f_freshwater;[130,174[;;;0,8;
SMniInd_freshwater;MniInd_f_freshwater;[87,130[;;;0,6;
SMniInd_freshwater;MniInd_f_freshwater;[43,87[;;;0,4;
SMniInd_freshwater;MniInd_f_freshwater;] ,43[;;;0,2;
SMpiDia_freshwater;MpiDia_freshwater;[35.2, [;;;1;
SMpiDia_freshwater;MpiDia_freshwater;[26.4,35.2[;;;0,8;
SMpiDia_freshwater;MpiDia_freshwater;[17.6,26.4[;;;0,6;
SMpiDia_freshwater;MpiDia_freshwater;[8.8,17.6[;;;0,4;
SMpiDia_freshwater;MpiDia_freshwater;] ,8.8[;;;0,2;
SMpiSpa_freshwater;MpiSpa_freshwater;[31.3, [;;;1;
SMpiSpa_freshwater;MpiSpa_freshwater;[23.5,31.3[;;;0,8;
SMpiSpa_freshwater;MpiSpa_freshwater;[15.7,23.5[;;;0,6;
SMpiSpa_freshwater;MpiSpa_freshwater;[7.8,15.7[;;;0,4;
SMpiSpa_freshwater;MpiSpa_freshwater;] ,7.8[;;;0,2;
SMpiPis_freshwater;MpiPis_freshwater;[43, [;;;1;
SMpiPis_freshwater;MpiPis_freshwater;[32.3,43[;;;0,8;
SMpiPis_freshwater;MpiPis_freshwater;[21.5,32.3[;;;0,6;
SMpiPis_freshwater;MpiPis_freshwater;[10.8,21.5[;;;0,4;
SMpiPis_freshwater;MpiPis_freshwater;] ,10.8[;;;0,2;
SMpiBen_freshwater;MpiBen_freshwater;[27.4, [;;;1;
SMpiBen_freshwater;MpiBen_freshwater;[20.5,27.4[;;;0,8;
SMpiBen_freshwater;MpiBen_freshwater;[13.7,20.5[;;;0,6;
SMpiBen_freshwater;MpiBen_freshwater;[6.9,13.7[;;;0,4;
SMpiBen_freshwater;MpiBen_freshwater;] ,6.9[;;;0,2;
SMnsPis_oligohaline;MnsPis_oligohaline;[13.5, [;;;1;
SMnsPis_oligohaline;MnsPis_oligohaline;[10.1,13.5[;;;0,8;
SMnsPis_oligohaline;MnsPis_oligohaline;[6.8,10.1[;;;0,6;
SMnsPis_oligohaline;MnsPis_oligohaline;[3.4,6.8[;;;0,4;
SMnsPis_oligohaline;MnsPis_oligohaline;] ,3.4[;;;0,2;
SMnsInt_oligohaline;MnsInt_oligohaline;[9, [;;;1;
SMnsInt_oligohaline;MnsInt_oligohaline;[6.8,9[;;;0,8;
SMnsInt_oligohaline;MnsInt_oligohaline;[4.5,6.8[;;;0,6;
