metric_score;metric;value_metric;add_category;value_add_category;score_id;opmerkingen
SMnsTot_brasem;MnsTot;[7, [;width_river;[0,3];5;
SMnsTot_brasem;MnsTot;[6,7[;width_river;[0,3];4;
SMnsTot_brasem;MnsTot;[4,6[;width_river;[0,3];3;
SMnsTot_brasem;MnsTot;[2,4[;width_river;[0,3];2;
SMnsTot_brasem;MnsTot;] ,2[;width_river;[0,3];1;
SMnsTot_brasem;MnsTot;[12, [;width_river;]3,6.5];5;
SMnsTot_brasem;MnsTot;[9,12[;width_river;]3,6.5];4;
SMnsTot_brasem;MnsTot;[6,9[;width_river;]3,6.5];3;
SMnsTot_brasem;MnsTot;[3,6[;width_river;]3,6.5];2;
SMnsTot_brasem;MnsTot;] ,3[;width_river;]3,6.5];1;
SMnsTot_brasem;MnsTot;[13, [;width_river;]6.5,9[;5;
SMnsTot_brasem;MnsTot;[10,13[;width_river;]6.5,9[;4;
SMnsTot_brasem;MnsTot;[7,10[;width_river;]6.5,9[;3;
SMnsTot_brasem;MnsTot;[4,7[;width_river;]6.5,9[;2;
SMnsTot_brasem;MnsTot;] ,4[;width_river;]6.5,9[;1;
SMnsTot_brasem;MnsTot;[14, [;width_river;[9, [;5;
SMnsTot_brasem;MnsTot;[10,14[;width_river;[9, [;4;
SMnsTot_brasem;MnsTot;[7,10[;width_river;[9, [;3;
SMnsTot_brasem;MnsTot;[5,7[;width_river;[9, [;2;
SMnsTot_brasem;MnsTot;] ,5[;width_river;[9, [;1;
SManTol;ManTol;[2.4, [;;;5;
SManTol;ManTol;[2,2.4[;;;4;
SManTol;ManTol;[1.6,2[;;;3;
SManTol;ManTol;[1.2,1.6[;;;2;
SManTol;ManTol;] ,1.2[;;;1;
SManTyp_brasem;ManTyp_brasem;[3.3, [;;;5;
SManTyp_brasem;ManTyp_brasem;[3,3.3[;;;4;
SManTyp_brasem;ManTyp_brasem;[2.7,3[;;;3;
SManTyp_brasem;ManTyp_brasem;[2.4,2.7[;;;2;
SManTyp_brasem;ManTyp_brasem;] ,2.4[;;;1;
SManSoort;ManSoort_barbeel;[4.5, [;;;5;
SManSoort;ManSoort_barbeel;[3.5,4.5[;;;4;
SManSoort;ManSoort_barbeel;[2.5,3.5[;;;3;
SManSoort;ManSoort_barbeel;[1.5,2.5[;;;2;
SManSoort;ManSoort_barbeel;] ,1.5[;;;1;
SManSoort;ManSoort_brasem;[4.5, [;;;5;
SManSoort;ManSoort_brasem;[3.5,4.5[;;;4;
SManSoort;ManSoort_brasem;[2.5,3.5[;;;3;
SManSoort;ManSoort_brasem;[1.5,2.5[;;;2;
SManSoort;ManSoort_brasem;] ,1.5[;;;1;
SMpgrut;PercRutRut;[10,25];;;5;
SMpgrut;PercRutRut;]25,35];;;4;
SMpgrut;PercRutRut;]35,45];;;3;
SMpgrut;PercRutRut;]45,55];;;2;
SMpgrut;PercRutRut;]55, [;;;1;
SMpgrut;PercRutRut;[7.5,10[;;;4;
SMpgrut;PercRutRut;[5,7.5[;;;3;
SMpgrut;PercRutRut;[2.5,5[;;;2;
SMpgrut;PercRutRut;] ,2.5[;;;1;
SMpgsca;PercScaEry;[10, [;;;5;
SMpgsca;PercScaEry;[5,10[;;;4;
SMpgsca;PercScaEry;[2,5[;;;3;
SMpgsca;PercScaEry;[1,2[;;;2;
SMpgsca;PercScaEry;] ,1[;;;1;
SMpgtin;PercTinTin;[15, [;AantalGrootteKlassenTinTin;]1, [;5;
SMpgtin;PercTinTin;[10,15[;AantalGrootteKlassenTinTin;]1, [;4;
SMpgtin;PercTinTin;] ,10[;AantalGrootteKlassenTinTin;]1, [;3;
SMpgtin;PercTinTin;[15, [;AantalGrootteKlassenTinTin;] ,1];2;
SMpgtin;PercTinTin;] ,15[;AantalGrootteKlassenTinTin;] ,1];1;
SManBio_brasem;ManBio;[100,350[;;;5;
SManBio_brasem;ManBio;[350,500[;;;4;
SManBio_brasem;ManBio;[500,650[;;;3;
SManBio_brasem;ManBio;[650,800[;;;2;
SManBio_brasem;ManBio;[800, [;;;1;
SManBio_brasem;ManBio;[75,100[;;;4;
SManBio_brasem;ManBio;[50,75[;;;3;
SManBio_brasem;ManBio;[25,50[;;;2;
SManBio_brasem;ManBio;] ,25[;;;1;
SMpgExo;MpgExo_river;] ,1[;;;5;
SMpgExo;MpgExo_river;[1,4[;;;4;
SMpgExo;MpgExo_river;[4,7[;;;3;
SMpgExo;MpgExo_river;[7,10[;;;2;
SMpgExo;MpgExo_river;[10, [;;;1;
STrofcomp;Trofcomp;[4.3,5];;;5;
STrofcomp;Trofcomp;[3.5,4.3[;;;4;
STrofcomp;Trofcomp;[2.5,3.5[;;;3;
STrofcomp;Trofcomp;[1.7,2.5[;;;2;
STrofcomp;Trofcomp;] ,1.7[;;;1;
SMpiinvt_river;PercInvert;] ,20];;;1;
SMpiinvt_river;PercInvert;[20,45];;;3;
SMpiinvt_river;PercInvert;]45,100[;;;5;
SMpiinvt_river;PercInvert;[100,100];;;1;
SMpipisc;PercPisci;]7, [;;;1;
SMpipisc;PercPisci;]5,7];;;3;
SMpipisc;PercPisci;[3,5];;;5;
SMpipisc;PercPisci;[1,3[;;;3;
SMpipisc;PercPisci;] ,1[;;;1;
SMpiomni;PercOmni;[0,0];;;1;
SMpiomni;PercOmni;]0,1[;;;5;
SMpiomni;PercOmni;[1,5];;;3;
SMpiomni;PercOmni;]5, [;;;1;
SMpsRekr;MpsRekr;[85, [;;;5;
SMpsRekr;MpsRekr;[70,85[;;;4;
SMpsRekr;MpsRekr;[55,70[;;;3;
SMpsRekr;MpsRekr;[40,55[;;;2;
SMpsRekr;MpsRekr;] ,40[;;;1;
SMnsTot_barbeel;MnsTot;[5, [;width_river;[0,3];5;
SMnsTot_barbeel;MnsTot;[4,5[;width_river;[0,3];4;
SMnsTot_barbeel;MnsTot;[3,4[;width_river;[0,3];3;
SMnsTot_barbeel;MnsTot;[2,3[;width_river;[0,3];2;
SMnsTot_barbeel;MnsTot;] ,2[;width_river;[0,3];1;
SMnsTot_barbeel;MnsTot;[7, [;width_river;]3,6.5];5;
SMnsTot_barbeel;MnsTot;[6,7[;width_river;]3,6.5];4;
SMnsTot_barbeel;MnsTot;[4,6[;width_river;]3,6.5];3;
SMnsTot_barbeel;MnsTot;[2,4[;width_river;]3,6.5];2;
SMnsTot_barbeel;MnsTot;] ,2[;width_river;]3,6.5];1;
SMnsTot_barbeel;MnsTot;[10, [;width_river;]6.5,9[;5;
SMnsTot_barbeel;MnsTot;[8,10[;width_river;]6.5,9[;4;
SMnsTot_barbeel;MnsTot;[6,8[;width_river;]6.5,9[;3;
SMnsTot_barbeel;MnsTot;[4,6[;width_river;]6.5,9[;2;
SMnsTot_barbeel;MnsTot;] ,4[;width_river;]6.5,9[;1;
SMnsTot_barbeel;MnsTot;[12, [;width_river;[9, [;5;
SMnsTot_barbeel;MnsTot;[9,12[;width_river;[9, [;4;
SMnsTot_barbeel;MnsTot;[6,9[;width_river;[9, [;3;
SMnsTot_barbeel;MnsTot;[4,6[;width_river;[9, [;2;
SMnsTot_barbeel;MnsTot;] ,4[;width_river;[9, [;1;
SManTyp_barbeel;ManTyp_barbeel;[3.1, [;;;5;
SManTyp_barbeel;ManTyp_barbeel;[2.8,3.1[;;;4;
SManTyp_barbeel;ManTyp_barbeel;[2.5,2.8[;;;3;
SManTyp_barbeel;ManTyp_barbeel;[2.2,2.5[;;;2;
SManTyp_barbeel;ManTyp_barbeel;] ,2.2[;;;1;
SMpggas;PercGasAcu;] ,3[;;;5;
SMpggas;PercGasAcu;[3,5[;;;4;
SMpggas;PercGasAcu;[5,7[;;;3;
SMpggas;PercGasAcu;[7,9[;;;2;
SMpggas;PercGasAcu;[9, [;;;1;
SMpgbar;PercBarBus;[11, [;;;5;
SMpgbar;PercBarBus;[9,11[;;;4;
SMpgbar;PercBarBus;[7,9[;;;3;
SMpgbar;PercBarBus;[5,7[;;;2;
SMpgbar;PercBarBus;] ,5[;;;1;
SMpgleu;PercLeuCep;]20, [;AantalGrootteKlassenLeuCep;]1, [;5;
SMpgleu;PercLeuCep;[5,20];AantalGrootteKlassenLeuCep;]1, [;4;
SMpgleu;PercLeuCep;] ,5[;AantalGrootteKlassenLeuCep;]1, [;3;
SMpgleu;PercLeuCep;[25, [;AantalGrootteKlassenLeuCep;] ,1];2;
SMpgleu;PercLeuCep;] ,25[;AantalGrootteKlassenLeuCep;] ,1];1;
SManBio_barbeel;ManBio;[250,350[;;;5;
SManBio_barbeel;ManBio;[350,450[;;;4;
SManBio_barbeel;ManBio;[450,550[;;;3;
SManBio_barbeel;ManBio;[550,650[;;;2;
SManBio_barbeel;ManBio;[650, [;;;1;
SManBio_barbeel;ManBio;[100,250[;;;4;
SManBio_barbeel;ManBio;[60,100[;;;3;
SManBio_barbeel;ManBio;[20,60[;;;2;
SManBio_barbeel;ManBio;] ,20[;;;1;
SMnsTot_brabeel;MnsTot_brabeel;]19, [;width_river;[0,5];5;
SMnsTot_brabeel;MnsTot_brabeel;[13,19];width_river;[0,5];4;
SMnsTot_brabeel;MnsTot_brabeel;[4,13[;width_river;[0,5];3;
SMnsTot_brabeel;MnsTot_brabeel;[3,4[;width_river;[0,5];2;
SMnsTot_brabeel;MnsTot_brabeel;[1,3[;width_river;[0,5];1;
SMnsTot_brabeel;MnsTot_brabeel;] ,1[;width_river;]5,10];0;
SMnsTot_brabeel;MnsTot_brabeel;]19, [;width_river;]5,10];5;
SMnsTot_brabeel;MnsTot_brabeel;[13,19];width_river;]5,10];4;
SMnsTot_brabeel;MnsTot_brabeel;[6,13[;width_river;]5,10];3;
SMnsTot_brabeel;MnsTot_brabeel;[4,6[;width_river;]5,10];2;
SMnsTot_brabeel;MnsTot_brabeel;[2,4[;width_river;]5,10];1;
SMnsTot_brabeel;MnsTot_brabeel;] ,2[;width_river;]5,10];0;
SMnsTot_brabeel;MnsTot_brabeel;]19, [;width_river;]10,15];5;
SMnsTot_brabeel;MnsTot_brabeel;[13,19];width_river;]10,15];4;
SMnsTot_brabeel;MnsTot_brabeel;[7,13[;width_river;]10,15];3;
SMnsTot_brabeel;MnsTot_brabeel;[5,7[;width_river;]10,15];2;
SMnsTot_brabeel;MnsTot_brabeel;[2,5[;width_river;]10,15];1;
SMnsTot_brabeel;MnsTot_brabeel;] ,2[;width_river;]10,15];0;
SMnsTot_brabeel;MnsTot_brabeel;]19, [;width_river;]15,30];5;
SMnsTot_brabeel;MnsTot_brabeel;[13,19];width_river;]15,30];4;
SMnsTot_brabeel;MnsTot_brabeel;[8,13[;width_river;]15,30];3;
SMnsTot_brabeel;MnsTot_brabeel;[5,8[;width_river;]15,30];2;
SMnsTot_brabeel;MnsTot_brabeel;[3,5[;width_river;]15,30];1;
