taxoncode;variable;interval;class;score
LEU.DEL.;Recr;[0,3];0;
LEU.DEL.;Recr;]3, [;1;
LEU.IDE.;Recr;[0,10];0;
LEU.IDE.;Recr;]10,17];1;
LEU.IDE.;Recr;]17,25];2;
LEU.IDE.;Recr;]25, [;3;
LEU.LEU.;Recr;[0,12.3];0;
LEU.LEU.;Recr;]12.3,17];1;
LEU.LEU.;Recr;]17, [;2;
LEU.LEU.;Gkla;] ,2[;;1
LEU.LEU.;Gkla;[2,3[;;3
LEU.LEU.;Gkla;[3, [;;5
PHO.PHO.;Recr;[0,4.4];0;
PHO.PHO.;Recr;]4.4,6.7];1;
PHO.PHO.;Recr;]6.7, [;2;
PHO.PHO.;Gkla;] ,2[;;3
PHO.PHO.;Gkla;[2, [;;5
PIM.PRO.;Recr;[0,5];0;
PIM.PRO.;Recr;]5,10];1;
PIM.PRO.;Recr;]10, [;2;
PSE.PAR.;Recr;[0,4];0;
PSE.PAR.;Recr;]4, [;1;
RHO.AMA.;Recr;[0,6];0;
RHO.AMA.;Recr;]6,9];1;
RHO.AMA.;Recr;]9, [;2;
RUT.RUT.;Recr;[0,6];0;
RUT.RUT.;Recr;]6,11];1;
RUT.RUT.;Recr;]11,15];2;
RUT.RUT.;Recr;]15,18];3;
RUT.RUT.;Recr;]18, [;4;
SCA.ERY.;Recr;[0,6];0;
SCA.ERY.;Recr;]6,11];1;
SCA.ERY.;Recr;]11,15];2;
SCA.ERY.;Recr;]15,19];3;
SCA.ERY.;Recr;]19, [;4;
TIN.TIN.;Recr;[0,6.3];0;
TIN.TIN.;Recr;]6.3,15.8];1;
TIN.TIN.;Recr;]15.8,21.5];2;
TIN.TIN.;Recr;]21.5, [;3;
COB.TAE.;Recr;[0,5];0;
COB.TAE.;Recr;[5, [;1;
MIS.FOS.;Recr;[0,7.5];0;
MIS.FOS.;Recr;]7.5,15];1;
MIS.FOS.;Recr;]15, [;2;
BAR.BUS.;Recr;[0,5[;0;
BAR.BUS.;Recr;[5, [;1;
BAR.BUS.;Gkla;] ,1];;3
BAR.BUS.;Gkla;]1, [;;5
LOT.LOT.;Recr;[0,15];0;
LOT.LOT.;Recr;]15,22];1;
LOT.LOT.;Recr;]22, [;2;
AME.NEB.;Recr;[0,7];0;
AME.NEB.;Recr;]7, [;1;
AME.MEL.;Recr;[0,7];0;
AME.MEL.;Recr;]7, [;1;
SIL.GLA.;Recr;[0,15];0;
SIL.GLA.;Recr;]15,40];1;
SIL.GLA.;Recr;]40, [;2;
ESO.LUC.;Recr;[0,15];0;
ESO.LUC.;Recr;]15,30];1;
ESO.LUC.;Recr;]30,60];2;
ESO.LUC.;Recr;]60, [;3;
UMB.PYG.;Recr;[0,5];0;
UMB.PYG.;Recr;]5, [;1;
OSM.EPE.;Recr;[0,6];0;
OSM.EPE.;Recr;]6,10];1;
OSM.EPE.;Recr;]10, [;2;
SAL.FAR.;Recr;[0,10];0;
SAL.FAR.;Recr;]10,14];1;
SAL.FAR.;Recr;]14,18];2;
SAL.FAR.;Recr;]18, [;3;
SAL.FAR.;Gkla;] ,2[;;1
SAL.FAR.;Gkla;[2,3[;;3
SAL.FAR.;Gkla;[3, [;;5
THY.THY.;Recr;[0,14];0;
THY.THY.;Recr;]14,24];1;
THY.THY.;Recr;]24, [;2;
THY.THY.;Gkla;] ,2[;;3
THY.THY.;Gkla;[2, [;;5
GAS.ACU.;Recr;[0,4];0;
GAS.ACU.;Recr;]4, [;1;
PUN.PUN.;Recr;[0,4];0;
PUN.PUN.;Recr;]4, [;1;
COT.GRP.;Recr;[0,5[;0;
COT.GRP.;Recr;[5,8];1;
COT.GRP.;Recr;]8, [;2;
COT.GRP.;Gkla;] ,2[;;1
COT.GRP.;Gkla;[2,3[;;3
COT.GRP.;Gkla;[3, [;;5
LEP.GIB.;Recr;[0,4.6];0;
LEP.GIB.;Recr;]4.6,8];1;
LEP.GIB.;Recr;]8, [;2;
GYM.CER.;Recr;[0,5];0;
GYM.CER.;Recr;]5,7];1;
GYM.CER.;Recr;]7,11];2;
GYM.CER.;Recr;]11, [;3;
PER.FLU.;Recr;[0,7];0;
PER.FLU.;Recr;]7,13];1;
PER.FLU.;Recr;]13,20];2;
PER.FLU.;Recr;]20, [;3;
SAN.LUC.;Recr;[0,12];0;
SAN.LUC.;Recr;]12,29.2];1;
SAN.LUC.;Recr;]29.2,40];2;
SAN.LUC.;Recr;]40, [;3;
ASP.ASP.;Recr;[0,15[;0;
ASP.ASP.;Recr;[15,35];1;
ASP.ASP.;Recr;]35, [;2;
PRO.SEM.;Recr;[0,5];0;
PRO.SEM.;Recr;]5, [;1;
COT.RHE.;Recr;[0,5[;0;
COT.RHE.;Recr;[5,8];1;
COT.RHE.;Recr;]8, [;2;
COT.RHE.;Gkla;] ,2[;;1
COT.RHE.;Gkla;[2,3[;;3
COT.RHE.;Gkla;[3, [;;5
COT.PER.;Recr;[0,5[;0;
COT.PER.;Recr;[5,8];1;
COT.PER.;Recr;]8, [;2;
COT.PER.;Gkla;] ,2[;;1
COT.PER.;Gkla;[2,3[;;3
COT.PER.;Gkla;[3, [;;5
PLA.FLE.;Recr;] ,4];0;
PLA.FLE.;Recr;]4,11.5];1;
PLA.FLE.;Recr;]11.5,18.5];2;
PLA.FLE.;Recr;]18.5, [;3;
