taxoncode;variable;interval;class;score
;multiple;] ,1];;0
;multiple;]1, [;;1
LAM.PLA.;Recr;[0,9.9];0;
LAM.PLA.;Recr;]9.9, [;1;
ANG.ANG.;Recr;[0,9.4[;0;
ANG.ANG.;Recr;[9.4,15.5];1;
ANG.ANG.;Recr;]15.5, [;2;
ANG.ANG.;Gkla;] ,2[;;1
ANG.ANG.;Gkla;[2,3[;;3
ANG.ANG.;Gkla;[3, [;;5
ABR.BRA.;Recr;[0,7[;0;
ABR.BRA.;Recr;[7,14];1;
ABR.BRA.;Recr;]14, [;2;
ALB.BIP.;Recr;[0,4.8];0;
ALB.BIP.;Recr;[4.8, [;1;
ALB.BIP.;Gkla;] ,2[;;1
ALB.BIP.;Gkla;[2, [;;3
ALB.ALB.;Recr;[0,5.6[;0;
ALB.ALB.;Recr;[5.6,10];1;
ALB.ALB.;Recr;]10, [;2;
BAR.BAR.;Recr;[0,4];0;
BAR.BAR.;Recr;]4,10];1;
BAR.BAR.;Recr;]10, [;2;
BAR.BAR.;Gkla;] ,2[;;3
BAR.BAR.;Gkla;[2, [;;5
BLI.BJO.;Recr;[0,6];0;
BLI.BJO.;Recr;]6,11];1;
BLI.BJO.;Recr;]11, [;2;
CAR.CAR.;Recr;[0,4];0;
CAR.CAR.;Recr;]4,8];1;
CAR.CAR.;Recr;]8,14.5];2;
CAR.CAR.;Recr;]14.5, [;3;
CAR.AUG.;Recr;[0,7.4[;0;
CAR.AUG.;Recr;[7.4,17];1;
CAR.AUG.;Recr;]17, [;2;
CHO.NAS.;Recr;[0,8];0;
CHO.NAS.;Recr;]8,20];1;
CHO.NAS.;Recr;]20, [;2;
CHO.NAS.;Gkla;] ,2[;;3
CHO.NAS.;Gkla;[2, [;;5
CYP.CAR.;Recr;[0,13];0;
CYP.CAR.;Recr;]13,25.5];1;
CYP.CAR.;Recr;]25.5, [;2;
GOB.GOB.;Recr;[0,7[;0;
GOB.GOB.;Recr;[7,10];1;
GOB.GOB.;Recr;]10, [;2;
GOB.GOB.;Gkla;] ,2[;;1
GOB.GOB.;Gkla;[2,3[;;3
GOB.GOB.;Gkla;[3, [;;5
LEU.CEP.;Recr;[0,7];0;
LEU.CEP.;Recr;]7,10];1;
LEU.CEP.;Recr;]10,16];2;
LEU.CEP.;Recr;]16, [;3;
LEU.CEP.;Gkla;] ,3[;;1
LEU.CEP.;Gkla;[3,4[;;3
LEU.CEP.;Gkla;[4, [;;5
